Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
.еинатачепогинк еокссуР, йыртсО ,Русское книгопечатание., Острый , ," конфликт между католиками и протестантами,","Александр Алексеев. Русь невеликая // «Наука и жизнь», 2009",Александр Алексеев,,Русь невеликая,2009,"нехудожественная, учебно-научная",статья,"история, наука и технологии",«Наука и жизнь»,2009,журнал,омонимия не снята,"Русское книгопечатание. Острый конфликт между католиками и протестантами, разгоревшийся в Европе в XV- XVII веках, обернулся ростом религиозного скептицизма. [Александр Алексеев. Русь невеликая // «Наука и жизнь», 2009] [омонимия не снята]"
в хасрукнок хытыркто ан дебоп, йортсо ,побед на открытых конкурсах в, острой , , борьбе.,"А. Дубровский. Чтим прошлое, работаем на будущее. К 60-летию отечественной вычислительной техники // «Наука и жизнь», 2008",А. Дубровский,,"Чтим прошлое, работаем на будущее. К 60-летию отечественной вычислительной техники",2008,"нехудожественная, публицистика",статья,техника,«Наука и жизнь»,2008,журнал,омонимия не снята,"Все проекты ― результат побед на открытых конкурсах вострой борьбе. [А. Дубровский. Чтим прошлое, работаем на будущее. К 60-летию отечественной вычислительной техники // «Наука и жизнь», 2008] [омонимия не снята]"
"как а ,асоах и итсонйихитс", юуртсо ,"стихийности и хаоса, а как", острую , , борьбу интересов различных группировок и,"Борис Миронов. Когда в России жилось хорошо? // «Родина», 2008",Борис Миронов,,Когда в России жилось хорошо?,2008,"нехудожественная, публицистика",статья,"история, политика и общественная жизнь",«Родина»,2008,журнал,омонимия не снята,"Согласно ему, события последних дней перед отречением Николая II и первых дней после Февральской революции следует рассматривать не как господство стихийности и хаоса, а какострую борьбу интересов различных группировок и личностей, пытавшихся извлечь для себя максимум выгоды из созданного ими же острого политического кризиса, который застал их не врасплох, а хорошо подготовленными18. [Борис Миронов. Когда в России жилось хорошо? // «Родина», 2008] [омонимия не снята]"
тюакинзов имакитероет и имароткуртснок уджем, еыртсо ,между конструкторами и теоретиками возникают, острые , , споры.,"Борис Руденко. Они учат летать самолёты // «Наука и жизнь», 2008",Борис Руденко,,Они учат летать самолёты,2008,"нехудожественная, публицистика",статья,"история, техника",«Наука и жизнь»,2008,журнал,омонимия не снята,"Порой между конструкторами и теоретиками возникаютострые споры. [Борис Руденко. Они учат летать самолёты // «Наука и жизнь», 2008] [омонимия не снята]"
анещысан ― водог 5491 ―1491, имыртсо ,1941― 1945 годов ― насыщена, острыми , , противоречиями и столкновениями интересов различных,"Галина Янковская. Цена несбывшихся надежд // «Родина», 2008",Галина Янковская,,Цена несбывшихся надежд,2008,"нехудожественная, публицистика",рецензия,"армия и вооруженные конфликты, история, политика и общественная жизнь",«Родина»,2008,журнал,омонимия не снята,"Негласные требования политкорректности не могут замаскировать тот факт, что воюющее советское общество отнюдь не было единым, а социальная жизнь 1941― 1945 годов ― насыщенаострыми противоречиями и столкновениями интересов различных групп советского общества. [Галина Янковская. Цена несбывшихся надежд // «Родина», 2008] [омонимия не снята]"
"яамас ,йулажоп ,алыб отэ и", яартсо ,"и это была, пожалуй, самая", острая , , коллизия на протяжении всего моего,Марина Палей. Дань саламандре (2008),Марина Палей,1955,Дань саламандре,2008,художественная,роман,_,,,книга,омонимия не снята,"Однако же мне не удалось избежать столкновения с представителем домоуправления и даже участковым милиционером ( в сопровождении которого он явился), ― и это была, пожалуй, самаяострая коллизия на протяжении всего моего смертельного номера. [Марина Палей. Дань саламандре (2008)] [омонимия не снята]"
"в яинамреГ адгок ,адог 6002", йортсо ,"2006 года, когда Германия в", острой , , борьбе победила Аргентину.,"обобщенный. Кунсткамера // «Наука и жизнь», 2008",обобщенный,,Кунсткамера,2008,"нехудожественная, публицистика",заметка,"природа, техника",«Наука и жизнь»,2008,журнал,омонимия не снята,"Пик госпитализации отмечен 30 июня 2006 года, когда Германия вострой борьбе победила Аргентину. [обобщенный. Кунсткамера // «Наука и жизнь», 2008] [омонимия не снята]"
:яитивзар еинелварпан еещюуделс ежкат теувтстевтоос, еыртсо ,соответствует также следующее направление развития:, острые , , конфликты « на работе» все,"Признание коучинга в Германии // Coach, 2008",,,Признание коучинга в Германии,2008,"нехудожественная, публицистика",статья,"администрация и управление, бизнес, коммерция, экономика, финансы",Coach,2008,журнал,омонимия не снята,"Этой тенденции соответствует также следующее направление развития:острые конфликты « на работе» все чаще оказываются поводом для коучинга. [Признание коучинга в Германии // Coach, 2008] [омонимия не снята]"
доиреп липутсан и тевс в, хыртсо ,в свет и наступил период, острых , ," споров вокруг нее, подробные отчеты","И. Осадчая. Джон Мейнард Кейнс и Лидия. Великий реформатор капитализма и балет // «Наука и жизнь», 2007",И. Осадчая,,Джон Мейнард Кейнс и Лидия. Великий реформатор капитализма и балет,2007,"нехудожественная, публицистика",статья,"бизнес, коммерция, экономика, финансы, искусство и культура",«Наука и жизнь»,2007,журнал,омонимия не снята,"Когда в 1936 году книга вышла в свет и наступил периодострых споров вокруг нее, подробные отчеты о них мы тоже встречаем в письмах к Лидии. [И. Осадчая. Джон Мейнард Кейнс и Лидия. Великий реформатор капитализма и балет // «Наука и жизнь», 2007] [омонимия не снята]"
яамаС, яартсо ,Самая, острая , ," борьба, конечно же, на политическом","Олег Козырев. Человек-телебашня // «Русский репортер», № 29 (29), 20-27 декабря 2007, 2007",Олег Козырев,,Человек-телебашня,2007,"нехудожественная, публицистика",статья,"искусство и культура, культурология, техника","«Русский репортер», № 29 (29), 20-27 декабря 2007",2007,журнал,омонимия не снята,"Самаяострая борьба, конечно же, на политическом фланге. [Олег Козырев. Человек-телебашня // «Русский репортер», № 29 (29), 20-27 декабря 2007, 2007] [омонимия не снята]"
"елсоп ясхишвавивзар ,йинелварпан хиксфосолифовгнил хигонм", огортсо ,"многих лингвофилософских направлений, развивавшихся после", острого , ," спора феноменологии и неокантианства, встала",Л. А. Гоготишвили. «Эйдетический язык» (реконструкция и интерпретация радикальной феноменологической новации А. Ф. Лосева) (2006),Л. А. Гоготишвили,1954,«Эйдетический язык» (реконструкция и интерпретация радикальной феноменологической новации А. Ф. Лосева),2006,"нехудожественная, учебно-научная",монография,"наука и технологии, философия",,,книга,омонимия не снята,"В целом можно говорить, что в центр внимания многих лингвофилософских направлений, развивавшихся послеострого спора феноменологии и неокантианства, встала проблема взаимоотношений логики и языка на фоне их соотношения с априорным и/ или истинным смыслом и действительностью, т. е. комплекс проблем, непосредственно соответствующих описанному выше лосевскому пониманию лингвистического смысла противостояния феноменологии и неокантианства. [Л. А. Гоготишвили. «Эйдетический язык» (реконструкция и интерпретация радикальной феноменологической новации А. Ф. Лосева) (2006)] [омонимия не снята]"
тедуб ен ишоню оготэ у, хыртсо ,у этого юноши не будет, острых , , конфликтов с согражданами- гуманитариями; курс литературы,"Сергей Смирнов. Пустили козленка в огород // «Знание - сила», 2006",Сергей Смирнов,,Пустили козленка в огород,2006,"нехудожественная, публицистика",статья,"математика, наука и технологии, образование",«Знание - сила»,2006,журнал,омонимия не снята,"Вероятно, у этого юноши не будетострых конфликтов с согражданами- гуманитариями; курс литературы не пропал зря!  [Сергей Смирнов. Пустили козленка в огород // «Знание - сила», 2006] [омонимия не снята]"
ьнечо мотемдерп илатс иирефиреп ымелборп, хыртсо ,проблемы периферии стали предметом очень, острых , , противоречии между СССР и США.,"Владислав Иноземцев. Мир после распада империй ― и снова един? // «Знание - сила», 2005",Владислав Иноземцев,1968,Мир после распада империй ― и снова един?,2005,"нехудожественная, публицистика",статья,"администрация и управление, армия и вооруженные конфликты, история, политика и общественная жизнь",«Знание - сила»,2005,журнал,омонимия не снята,"Проблемы колониального мира, проблемы периферии стали предметом оченьострых противоречии между СССР и США. [Владислав Иноземцев. Мир после распада империй ― и снова един? // «Знание - сила», 2005] [омонимия не снята]"
еелоб К, йортсо ,К более, острой , , борьбе вел вариант 8. a3,"Адриан Михальчишин. Миттельшпиль остался за Леко // «64 — Шахматное обозрение», 2004.10.15",Адриан Михальчишин,,Миттельшпиль остался за Леко,2004,"нехудожественная, публицистика",комментарий,спорт,«64 — Шахматное обозрение»,2004.10.15,журнал,омонимия не снята,"К болееострой борьбе вел вариант 8. a3 Nc6 9. [Адриан Михальчишин. Миттельшпиль остался за Леко // «64 — Шахматное обозрение», 2004.10.15] [омонимия не снята]"
"оламен олыб ,яиненм еыбосо и", хыртсо ,"и особые мнения, было немало", острых , ," споров, но самое главное, что","В. В. Путин. Выступление на российско-украинской конференции представителей высших законодательных органов власти // «Дипломатический вестник», 2004.05.25",В. В. Путин,1952,Выступление на российско-украинской конференции представителей высших законодательных органов власти,2004,"нехудожественная, официально-деловая",речь,политика и общественная жизнь,«Дипломатический вестник»,2004.05.25,журнал,омонимия не снята,"Среди депутатов обеих стран были, конечно, и особые мнения, было немалоострых споров, но самое главное, что такое неравнодушное и принципиальное обсуждение ― это процесс нормальный, и еще приятнее, когда он заканчивается позитивным результатом. [В. В. Путин. Выступление на российско-украинской конференции представителей высших законодательных органов власти // «Дипломатический вестник», 2004.05.25] [омонимия не снята]"
оньловод яслачеман мохиртиД оттО моцто, йыртсо ,отцом Отто Дитрихом намечался довольно, острый , , конфликт.,Владлен Давыдов. Театр моей мечты (2004),Владлен Давыдов,1924,Театр моей мечты,2004,"нехудожественная, публицистика",мемуары,искусство и культура,,,книга,омонимия не снята,"Сценарий я уже, конечно, прочитал и стал учить текст, где у Курта с отцом Отто Дитрихом намечался довольноострый конфликт. [Владлен Давыдов. Театр моей мечты (2004)] [омонимия не снята]"
хымас юунлоп иитрап ацнок од, хыртсо ,до конца партии полную самых, острых , , коллизий и столкновений жизненную драму.,"Исаак Линдер. Дон Кихот и шахматы // «64 — Шахматное обозрение», 2004.07.15",Исаак Линдер,,Дон Кихот и шахматы,2004,"нехудожественная, публицистика",эссе,спорт,«64 — Шахматное обозрение»,2004.07.15,журнал,омонимия не снята,"Всего за несколько часов шахматист тоже переживает от начала до конца партии полную самыхострых коллизий и столкновений жизненную драму. [Исаак Линдер. Дон Кихот и шахматы // «64 — Шахматное обозрение», 2004.07.15] [омонимия не снята]"
В, йортсо ,В, острой , , борьбе бывший тренер женской сборной,"Максим Ноткин. Жемчужины золотого зала // «64 — Шахматное обозрение», 2004.03.15",Максим Ноткин,,Жемчужины золотого зала,2004,"нехудожественная, публицистика",комментарий,спорт,«64 — Шахматное обозрение»,2004.03.15,журнал,омонимия не снята,"Вострой борьбе бывший тренер женской сборной России проиграл экс- чемпионке Европы. [Максим Ноткин. Жемчужины золотого зала // «64 — Шахматное обозрение», 2004.03.15] [омонимия не снята]"
"и ,хатсарзов хишдалм в меч", яартсо ,"чем в младших возрастах, и", острая , , борьба идет с первого тура.,"Николай Куренков. Кокетство Каиссы // «64 — Шахматное обозрение», 2004.04.15",Николай Куренков,,Кокетство Каиссы,2004,"нехудожественная, публицистика",комментарий,спорт,«64 — Шахматное обозрение»,2004.04.15,журнал,омонимия не снята,"А потому и конкуренция здесь намного выше, чем в младших возрастах, иострая борьба идет с первого тура. [Николай Куренков. Кокетство Каиссы // «64 — Шахматное обозрение», 2004.04.15] [омонимия не снята]"
меичилан ястеузиреткарах и йонжолс ястеатсо, хыртсо ,остается сложной и характеризуется наличием, острых , , противоречий между ведущими политическими силами,"Вооруженные силы Албании // «Зарубежное военное обозрение», 2004.05.24",,,Вооруженные силы Албании,2004,"нехудожественная, публицистика",статья,армия и вооруженные конфликты,«Зарубежное военное обозрение»,2004.05.24,газета,омонимия не снята,"Внутриполитическая обстановка в Албании остается сложной и характеризуется наличиемострых противоречий между ведущими политическими силами страны ― правящей Социалистической партией ( СП) и оппозиционной Демократической партией. [Вооруженные силы Албании // «Зарубежное военное обозрение», 2004.05.24] [омонимия не снята]"
тюаминирпсов и тюавытипв есв итед, ортсо ,дети все впитывают и воспринимают, остро , ," конфликты), это на всю ребенкину",Женщина + мужчина: Брак (форум) (2004),,,Женщина + мужчина: Брак (форум),2004,"нехудожественная, электронная коммуникация",форум,частная жизнь,,,электронный текст,омонимия не снята,"А пока- берегите нервы ребенка ( просто потрясающе, как дети все впитывают и воспринимаютостро конфликты), это на всю ребенкину жизнь… [Женщина + мужчина: Брак (форум) (2004)] [омонимия не снята]"
еелоб есв и итсонсапозеб яивтстусто, йортсо ,отсутствия безопасности и все более, острой , , конфронтации между коалицией и повстанцами.,"Заявления и сообщения // «Дипломатический вестник», 2004.05.25",,,Заявления и сообщения,2004,"нехудожественная, официально-деловая",заявление,политика и общественная жизнь,«Дипломатический вестник»,2004.05.25,журнал,омонимия не снята,"Л. Брахими отметил, что работа ООН в стране по оказанию содействия в решении этих задач существенно затруднена ввиду отсутствия безопасности и все болееострой конфронтации между коалицией и повстанцами. [Заявления и сообщения // «Дипломатический вестник», 2004.05.25] [омонимия не снята]"
алш и еинеживд еонноицамрофер ьсоланичан, яартсо ,начиналось реформационное движение и шла, острая , , борьба с папством.,"А. В. Полетаев, И. М. Савельева. Знание о прошлом: теория и история. Том 1: Конструирование прошлого (2003)","А. В. Полетаев, И. М. Савельева",1940 | 1941 | 1942 | 1943 | 1944 | 1945 | 1946 | 1947 | 1948 | 1949 | 1950,Знание о прошлом: теория и история. Том 1: Конструирование прошлого,2003,"нехудожественная, учебно-научная",монография,"история, наука и технологии",,,книга,омонимия не снята,"Ульрихом фон Гуттеном в Германии, где в это время начиналось реформационное движение и шлаострая борьба с папством. [А. В. Полетаев, И. М. Савельева. Знание о прошлом: теория и история. Том 1: Конструирование прошлого (2003)] [омонимия не снята]"
еелоб еще в »акеволеч яинаворимроф, йортсо ,формирования человека» в еще более, острой , , борьбе.,"А. Н. Лебедев. Отечественные специалисты о советском прошлом психологической науки // «Вопросы психологии», 2003.12.23",А. Н. Лебедев,,Отечественные специалисты о советском прошлом психологической науки,2003,"нехудожественная, учебно-научная",статья,"наука и технологии, психология",«Вопросы психологии»,2003.12.23,журнал,омонимия не снята,"Учитывая большой опыт борьбы психологов- марксистов друг с другом и с инакомыслящими за монополизацию какой-либо концепции, можно ожидать активного их стремления развивать те же концепции « формирования человека» в еще болееострой борьбе. [А. Н. Лебедев. Отечественные специалисты о советском прошлом психологической науки // «Вопросы психологии», 2003.12.23] [омонимия не снята]"
"илш ,ьтсонтомарг хин ялд ил", еыртсо ,"ли для них грамотность, шли", острые , ," споры ( скажем, Владимир Даль","Абрам Рейтблат, Борис Дубин. Государственная информация и массовая коммуникация // «Отечественные записки», 2003","Абрам Рейтблат, Борис Дубин",,Государственная информация и массовая коммуникация,2003,"нехудожественная, учебно-научная",статья,политика и общественная жизнь,«Отечественные записки»,2003,журнал,омонимия не снята,"Правда, значительная часть подданных ( крепостные крестьяне) длительное время исключалась из этого процесса, а по вопросу о том, полезна ли для них грамотность, шлиострые споры ( скажем, Владимир Даль выступал против обучения крестьян грамоте, не без оснований указывая, что не подкрепленные реальными социальными потребностями владение грамотой и чтение будут создавать у крестьян психологические напряжения и « выбивать» их из привычного образа жизни). [Абрам Рейтблат, Борис Дубин. Государственная информация и массовая коммуникация // «Отечественные записки», 2003] [омонимия не снята]"
"в отч ,ьсоливарноп ен оньлис", мортсо ,"сильно не понравилось, что в", остром , , конфликте руководства КПРФ с председателем,"Анатолий Костюков. Глазьев продолжает искать, где лучше // «Независимая газета», 2003.03.31",Анатолий Костюков,,"Глазьев продолжает искать, где лучше",2003,"нехудожественная, публицистика",статья,политика и общественная жизнь,«Независимая газета»,2003.03.31,газета,омонимия не снята,"Коммунистам сильно не понравилось, что востром конфликте руководства КПРФ с председателем исполкома НПСР Геннадием Семигиным Сергей Глазьев встал на сторону Семигина. [Анатолий Костюков. Глазьев продолжает искать, где лучше // «Независимая газета», 2003.03.31] [омонимия не снята]"
алавзыв аферГ анамреГ илвогрот и, йыртсо ,и торговли Германа Грефа вызвала, острый , ," спор среди наших читателей, в","Борис Вишневский, Игорь Николаев. Реально ли удвоить ВВП в ближайшие 10 лет? // «Московские новости», 2003.07.22","Борис Вишневский, Игорь Николаев",,Реально ли удвоить ВВП в ближайшие 10 лет?,2003,"нехудожественная, публицистика",статья,политика и общественная жизнь,«Московские новости»,2003.07.22,газета,омонимия не снята,"Статья « Девять барьеров на пути роста» министра экономического развития и торговли Германа Грефа вызвалаострый спор среди наших читателей, в том числе ― и профессиональных экономистов. [Борис Вишневский, Игорь Николаев. Реально ли удвоить ВВП в ближайшие 10 лет? // «Московские новости», 2003.07.22] [омонимия не снята]"
еелобиаН, еыртсо ,Наиболее, острые , , споры спровоцировала книга Данилевского «,"Валери Хачатурян. Теория культурно-исторических типов Н. Данилевского: логика и противоречия // «Общественные науки и современность», 2003.04.30",Валери Хачатурян,,Теория культурно-исторических типов Н. Данилевского: логика и противоречия,2003,"нехудожественная, учебно-научная",статья,"история, наука и технологии",«Общественные науки и современность»,2003.04.30,журнал,омонимия не снята,"Наиболееострые споры спровоцировала книга Данилевского « Россия и Европа. [Валери Хачатурян. Теория культурно-исторических типов Н. Данилевского: логика и противоречия // «Общественные науки и современность», 2003.04.30] [омонимия не снята]"
