Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
 ноколов ьлодв енидересоп атсем огонткефед, мыртсо ,дефектного места посередине вдоль волокон , острым , , ножом или скальпелем с наклоном,Татьяна Матвеева. Реставрация столярно-мебельных изделий (1988),Татьяна Матвеева,,Реставрация столярно-мебельных изделий,1988,"нехудожественная, учебно-научная",учебное пособие,производство,,,книга,омонимия снята,Вздутия в виде воздушных пузырей устраняют путём надреза дефектного места посередине вдоль волокон острым ножом или скальпелем с наклоном под углом 30… [Татьяна Матвеева. Реставрация столярно-мебельных изделий (1988)] [омонимия снята]
 ан алаворисналаб акшок яарес яаньлачеП, мортсо ,Печальная серая кошка балансировала на , остром , , гребне.,Сергей Довлатов. Заповедник (1983),Сергей Довлатов,1941,Заповедник,1983,художественная,повесть,_,,,книга,омонимия снята,Печальная серая кошка балансировала на остром гребне. [Сергей Довлатов. Заповедник (1983)] [омонимия снята]
",агамуб яалеБ", йыртсо ,"Белая бумага,", острый , , карандаш.,Татьяна Толстая. Ночь (1983),Татьяна Толстая,1951,Ночь,1983,художественная,рассказ,_,,,книга,омонимия снята,"Белая бумага,острый карандаш. [Татьяна Толстая. Ночь (1983)] [омонимия снята]"
" мишьлоб ,уртсок к алшодоп ачлом", мыртсо ,"молча подошла к костру, большим ", острым , ," ножом распластала жирную, чуть не","Марк Сергеев. Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й (1971)",Марк Сергеев,1926,"Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й",1971,художественная,повесть,_,,,книга,омонимия снята,"Та, кого старуха назвала Васютой, молча подошла к костру, большим острым ножом распластала жирную, чуть не на килограмм весом рыбину, проткнула её палочками ― рожнами ― и приспособила у огня. [Марк Сергеев. Волшебная галоша, или Необыкновенные приключения Вадима Смирнова, его лучшего друга Паши Кашкина и 33 невидимок из 117-й (1971)] [омонимия снята]"
" яаминдоп ,ажартс яанйовх аляотс йеннёчолпс", еыртсо ,"сплочённей стояла хвойная стража, поднимая ", острые , , пики в небо.,"Александр Солженицын. В круге первом, т.1, гл. 26-51 (1968) // «Новый Мир», 1990",Александр Солженицын,1918,"В круге первом, т.1, гл. 26-51",1968,художественная,роман,_,«Новый Мир»,1990,журнал,омонимия снята,"От её жёлтого нежного огня ещё мрачней и сплочённей стояла хвойная стража, поднимая острые пики в небо. [Александр Солженицын. В круге первом, т.1, гл. 26-51 (1968) // «Новый Мир», 1990] [омонимия снята]"
" и намут йындолох ан ,раф", еыртсо ,"фар, на холодный туман и ", острые , ," пики елей, он словно одеревенел","Василий Аксенов. Пора, мой друг, пора (1963)",Василий Аксенов,1932,"Пора, мой друг, пора",1963,художественная,роман,_,,,книга,омонимия снята,"Марвич бездумным взглядом смотрел на дымный свет фар, на холодный туман и острые пики елей, он словно одеревенел и перестал себя ощущать, но вдруг вздрогнул, почувствовав, что водитель косится. [Василий Аксенов. Пора, мой друг, пора (1963)] [омонимия снята]"
 я ужив И, еыртсо ,И вижу я , острые , ," шашки, и слышу я душу",М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937),М. А. Булгаков,1891,Записки покойника (Театральный роман),1936-1937,художественная,роман,_,,,книга,омонимия снята,"И вижу я острые шашки, и слышу я душу терзающий свист. [М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937)] [омонимия снята]"
" отдуб как ,ьчинзван теадап ,вунхо", мыртсо ,"охнув, падает навзничь, как будто ", острым , , ножом его спереди ударили в,М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937),М. А. Булгаков,1891,Записки покойника (Театральный роман),1936-1937,художественная,роман,_,,,книга,омонимия снята,"Сквозь табачный дым я слежу за ним, я напрягаю зрение и вижу: сверкнуло сзади человека, выстрел, он, охнув, падает навзничь, как будто острым ножом его спереди ударили в сердце. [М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937)] [омонимия снята]"
 лункторп и укшач юунняволо ливатсдоп, мыртсо ,подставил оловянную чашку и проткнул , острым , , скальпелем кожу.,К. Г. Паустовский. Орест Кипренский (1936),К. Г. Паустовский,1892,Орест Кипренский,1936,художественная,рассказ,_,,,книга,омонимия снята,"Риккарди быстро сжал Кипренского за локоть, подставил оловянную чашку и проткнул острым скальпелем кожу. [К. Г. Паустовский. Орест Кипренский (1936)] [омонимия снята]"
 афатсуМ А, йортсо ,А Мустафа , острой , , стамеской кромсает деревянные лохмотья.,Б. С. Житков. Элчан-Кайя (1926),Б. С. Житков,1882,Элчан-Кайя,1926,художественная,рассказ,_,,,книга,омонимия снята,А Мустафа острой стамеской кромсает деревянные лохмотья. [Б. С. Житков. Элчан-Кайя (1926)] [омонимия снята]
" ьтатярп ,итсонйеле йонксупан уксам ябес", йыртсо ,"себя маску напускной елейности, прятать ", острый , , меч и булатную палицу под,"Н. В. Устрялов. К вопросу о русском империализме // «Проблемы России», 1916",Н. В. Устрялов,1890,К вопросу о русском империализме,1916,"нехудожественная, публицистика",статья,политика и общественная жизнь,«Проблемы России»,1916,журнал,омонимия снята,"Неуместно русскому богатырю надевать на себя маску напускной елейности, прятать острый меч и булатную палицу под лохмотья перехожего калики или под рясу чуждого миру монаха № Да, мы здоровая нация, великая и духовно, и физически. [Н. В. Устрялов. К вопросу о русском империализме // «Проблемы России», 1916] [омонимия снята]"
",мылёжят миовс ьзовксан оге лазнорп", мыртсо ,"пронзал его насквозь своим тяжёлым,", острым , , мечом.,Л. А. Чарская. Живая перчатка (1912),Л. А. Чарская,1875,Живая перчатка,1912,художественная,сказка,_,,,книга,омонимия снята,"Стоило кому-либо в недобрый час попасться на его дороге, перейти ему нечаянно путь, и в одно мгновение ока свирепый рыцарь затаптывал насмерть несчастного копытами своего коня или пронзал его насквозь своим тяжёлым,острым мечом. [Л. А. Чарская. Живая перчатка (1912)] [омонимия снята]"
" ьтазердан ,йокум йыннапысоп ,тсил йынзележ", мыртсо ,"железный лист, посыпанный мукой, надрезать ", острым , ," ножом четырехугольные кусочки как лазанки,","Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Колдуны, пельмени, вареники и т. д. (1875-1900)",Елена Молоховец,1835,"Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Колдуны, пельмени, вареники и т. д.",1875-1900,"бытовая, нехудожественная, производственно-техническая",рецепт,дом и домашнее хозяйство,,,книга,омонимия снята,"Замесить крутое тесто, раскатать тонко, сложить на железный лист, посыпанный мукой, надрезать острым ножом четырехугольные кусочки как лазанки, вставить в печь, чтобы подрумянились и подсохли. [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Колдуны, пельмени, вареники и т. д. (1875-1900)] [омонимия снята]"
 или еквокниш в имакитмол ястюукниш, мыртсо ,шинкуются ломтиками в шинковке или , острым , , ножом.,"Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)",Елена Молоховец,1835,"Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг",1875-1900,"бытовая, нехудожественная, производственно-техническая",рецепт,дом и домашнее хозяйство,,,книга,омонимия снята,"Свежие огурцы для салата очищаются ножом от кожицы, и затем шинкуются ломтиками в шинковке или острым ножом. [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)] [омонимия снята]"
",урдец юукьнетлёж юумас окнот ьнечо", мыртсо ,"очень тонко самую жёлтенькую цедру,", острым , ," ножом, кругом лимона, вскипятить её","Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)",Елена Молоховец,1835,"Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг",1875-1900,"бытовая, нехудожественная, производственно-техническая",рецепт,дом и домашнее хозяйство,,,книга,омонимия снята,"Обварить, обтереть его чистым полотенцем, срезать очень тонко самую жёлтенькую цедру,острым ножом, кругом лимона, вскипятить её с водой или сиропом, приготовленным для желе лимонного, для киселя, сабайона, варенья и пр. и затем вынуть её. [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)] [омонимия снята]"
 мымас ьтазерзар ;уклуб юувтсрёч адгесв, мыртсо ,всегда чёрствую булку; разрезать самым , острым , , ножом.,"Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)",Елена Молоховец,1835,"Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг",1875-1900,"бытовая, нехудожественная, производственно-техническая",рецепт,дом и домашнее хозяйство,,,книга,омонимия снята,"Для греночек и гренок надо брать всегда чёрствую булку; разрезать самым острым ножом. [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)] [омонимия снята]"
 и еикориШ, еыртсо ,Широкие и , острые , ," лопаты ловко и, по-видимому, легко",А. А. Фет. Осенние хлопоты (1862),А. А. Фет,1820,Осенние хлопоты,1862,художественная,рассказ,_,,,книга,омонимия снята,"Широкие и острые лопаты ловко и, по-видимому, легко отрезывали слой за слоем и выкидывали землю. [А. А. Фет. Осенние хлопоты (1862)] [омонимия снята]"
"―еинещевсорп ,ераш монмез ан еинетсар", йыртсо ,"растение на земном шаре, просвещение―", острый , , кинжал в руках убийцы! ,Н. М. Карамзин. Филалет к Мелодору (1795),Н. М. Карамзин,1766,Филалет к Мелодору,1795,художественная,письмо литературное,_,,,книга,омонимия снята,"Уничтожься навеки, мысленная и чувствительная сила моя, прежде нежели поверю, что сей мир есть пещера разбойников и злодеев, добродетель ― чуждое растение на земном шаре, просвещение―острый кинжал в руках убийцы!  [Н. М. Карамзин. Филалет к Мелодору (1795)] [омонимия снята]"
" ее зарбо ,имакновзоп имыннечанзобо овилтечто", хыртсо ,"отчетливо обозначенными позвонками, образ ее ", острых , , лопаток и вообще все эти,Сергей Носов. Фигурные скобки (2015),Сергей Носов,1957,Фигурные скобки,2015,художественная,роман,_,,,книга,омонимия не снята,"Скажем, я, за отсутствием наблюдений, смутно представляю, как выглядит моя спина, как выглядят мои лопатки, да хотя бы та же задница наконец, потому что я не нарцисс и не пользуюсь двойными зеркалами, но непосредственный образ ее упругой спины с отчетливо обозначенными позвонками, образ ее острых лопаток и вообще все эти ландшафтные особенности, что сзади, что сбоку, что спереди —: в памяти отчетливо и надолго [Сергей Носов. Фигурные скобки (2015)] [омонимия не снята]"
 ищомоп ирп ьтсонхревоп теуринакс МСА, йортсо ,АСМ сканирует поверхность при помощи , острой , , иглы на гибком подвесе- кантилевере),"На ФОПФ появился уникальный атомно-силовой микроскоп // «За науку», 2014",,,На ФОПФ появился уникальный атомно-силовой микроскоп,2014,"нехудожественная, публицистика",заметка,"техника, электроника",«За науку»,2014,журнал,омонимия не снята,"Атомно- силовой микроскоп позволит рассмотреть ( точнее, ощупать, так как АСМ сканирует поверхность при помощи острой иглы на гибком подвесе- кантилевере) поверхность разных образцов при низких температурах и в сильном магнитном поле. [На ФОПФ появился уникальный атомно-силовой микроскоп // «За науку», 2014] [омонимия не снята]"
" ,ырозу мин оп ьтавысипыв и", мыртсо ,"и выписывать по ним узоры, ", острым , ," ножичком снимая тонкую шкурку, под","Зинаида Синявская. Пазлы // «Сибирские огни», 2013",Зинаида Синявская,1948,Пазлы,2013,художественная,повесть,_,«Сибирские огни»,2013,журнал,омонимия не снята,"Когда ветки становятся достаточно твердыми, их можно срезать и выписывать по ним узоры, острым ножичком снимая тонкую шкурку, под которой мокрое и желтовато- белое тело. [Зинаида Синявская. Пазлы // «Сибирские огни», 2013] [омонимия не снята]"
 ыб микаК « :анаротсер огондо, мыртсо ,одного ресторана: « Каким бы , острым , ," ножом ни резать хлеб, крошки",И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013),И. Г. Милославский,1938,Говорим правильно по смыслу или по форме?,2013,"нехудожественная, учебно-научная",_,"наука и технологии, филология",,,книга,омонимия не снята,"Это значение « аккуратно красть» напомнило мне афоризм директора одного ресторана: « Каким бы острым ножом ни резать хлеб, крошки всегда останутся». [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]"
 ексод йончоледзар йонняверед ан тюукниш, мыртсо ,шинкуют на деревянной разделочной доске , острым , ," ножом с длинным лезвием, получая","Вероника Селиверстова. Квасить за здравие // «Зеркало мира», 2012",Вероника Селиверстова,,Квасить за здравие,2012,"нехудожественная, публицистика",статья,"дом и домашнее хозяйство, здоровье и медицина",«Зеркало мира»,2012,журнал,омонимия не снята,"Подготавливают её следующим образом: освобождают от зелёных листьев, моют холодной проточной водой, разрезают на несколько частей и шинкуют на деревянной разделочной доске острым ножом с длинным лезвием, получая стружку шириной до 5 мм. [Вероника Селиверстова. Квасить за здравие // «Зеркало мира», 2012] [омонимия не снята]"
 икур в тереб легнА, юуртсо ,Ангел берет в руки , острую , , бритву.,"Дмитрий Соколов-Митрич. Куба капут // «Русский репортер», 2012",Дмитрий Соколов-Митрич,1975,Куба капут,2012,"нехудожественная, публицистика",репортаж,"администрация и управление, политика и общественная жизнь",«Русский репортер»,2012,журнал,омонимия не снята,"Ангел берет в руки острую бритву. [Дмитрий Соколов-Митрич. Куба капут // «Русский репортер», 2012] [омонимия не снята]"
.ьтыб ен тежом ен отч, мыртсО ,что не может не быть., Острым , , ножом Арсений разрезал на страдальце,Евгений Водолазкин. Лавр (2012),Евгений Водолазкин,1964,Лавр,2012,художественная,роман,_,,,книга,омонимия не снята,что не может не быть. Острым ножом Арсений разрезал на страдальце одежду и оголил ему торс. [Евгений Водолазкин. Лавр (2012)] [омонимия не снята]
 онрамота адгоК, яартсо ,Когда атомарно , острая , ," игла двигается вдоль поверхности образца,","Олег Осяев. На пороге новой эры // «Зеркало мира», 2012",Олег Осяев,,На пороге новой эры,2012,"нехудожественная, публицистика",статья,"наука и технологии, физика",«Зеркало мира»,2012,журнал,омонимия не снята,"Когда атомарно острая игла двигается вдоль поверхности образца, между иглой и поверхностью начинает проходить постоянный ток ― ток туннелирования. [Олег Осяев. На пороге новой эры // «Зеркало мира», 2012] [омонимия не снята]"
" ясьшиоб илсе ежад ,итсурГ 	", огортсо ,"	 Грусти, даже если боишься ", острого , ," меча,  	 Пусть не будет","Ольга Бурмина. Удобнее, чем есть руками // «Зеркало мира», 2012",Ольга Бурмина,,"Удобнее, чем есть руками",2012,"нехудожественная, публицистика",статья,"искусство и культура, история",«Зеркало мира»,2012,журнал,омонимия не снята,"Пусть будет долгой печаль, оплакивай имама Мухаммада,  	 Грусти, даже если боишься острого меча,  	 Пусть не будет порядка после Мухаммада,  	 Пусть будет расколото единство державы,  	 Пусть не радуется аль- Мамун царству после него,  	 Пусть скитается в мире как постоянный изгнанник,  	 Пусть не будет у него ни ножа, ни вилки,  	 Будет мясо руками есть, как последний нищий!  [Ольга Бурмина. Удобнее, чем есть руками // «Зеркало мира», 2012] [омонимия не снята]"
 с инрап еывородЗ, имыртсо ,Здоровые парни с , острыми , , трезубцами в руках остались практически,Виктор Пелевин. S.N.U.F.F (2011),Виктор Пелевин,1962,S.N.U.F.F,2011,художественная,роман,_,,,книга,омонимия не снята,"Здоровые парни с острыми трезубцами в руках остались практически голыми ― в одних шортах, обшитых ветошью для сходства с набедренной повязкой. [Виктор Пелевин. S.N.U.F.F (2011)] [омонимия не снята]"
 алуназер ончадуен аллА, мыртсо ,Алла неудачно резанула , острым , , ножом по кочану и распорола,Маша Трауб. Нам выходить на следующей (2011),Маша Трауб,1976,Нам выходить на следующей,2011,художественная,роман,_,,,книга,омонимия не снята,Алла неудачно резанула острым ножом по кочану и распорола себе руку. [Маша Трауб. Нам выходить на следующей (2011)] [омонимия не снята]
" ,йикперК", йыртсо ,"Крепкий, ", острый , , нож.,Р. Б. Ахмедов. Промельки (2011),Р. Б. Ахмедов,1933,Промельки,2011,"нехудожественная, публицистика",мемуары,_,,,электронное издание,омонимия не снята,"Крепкий, острый нож. [Р. Б. Ахмедов. Промельки (2011)] [омонимия не снята]"
 …робыв ан ― атялпыц или, мыртсО ,или цыплята ― на выбор… , Острым , , ножом отрежьте у цыплят грудки,коллективный. Форум: Кулинария. Курочка в шоколадном соусе (2011),коллективный,,Форум: Кулинария. Курочка в шоколадном соусе,2011,"нехудожественная, электронная коммуникация",блог,дом и домашнее хозяйство,,,электронный текст,омонимия не снята,"Делюсь рецептом с вами, курица или цыплята ― на выбор… Острым ножом отрежьте у цыплят грудки и ножки и положите в прохладное место. [коллективный. Форум: Кулинария. Курочка в шоколадном соусе (2011)] [омонимия не снята]"
 юлмез в илунктов хагон В, йыртсо ,В ногах воткнули в землю , острый , , циркуль.,"Борис Евсеев. Евстигней // «Октябрь», 2010",Борис Евсеев,1951,Евстигней,2010,художественная,роман,_,«Октябрь»,2010,журнал,омонимия не снята,"В ногах воткнули в землю острый циркуль. [Борис Евсеев. Евстигней // «Октябрь», 2010] [омонимия не снята]"
 меЧ, еертсо ,Чем , острее , ," пик новостей, тем менее значима",В. А. Подорога. Событие и массмедиа. Некоторые подходы к проблеме (2010),В. А. Подорога,1946,Событие и массмедиа. Некоторые подходы к проблеме,2010,"нехудожественная, учебно-научная",тезисы,"наука и технологии, философия",,,электронный текст,омонимия не снята,"Чем острее пик новостей, тем менее значима волна, выносящая его нам. [В. А. Подорога. Событие и массмедиа. Некоторые подходы к проблеме (2010)] [омонимия не снята]"
 енм ьтиревод ясляоб ен нО, юуртсо ,Он не боялся доверить мне , острую , , бритву.,Маша Трауб. Плохая мать (2010),Маша Трауб,1976,Плохая мать,2010,художественная,роман,_,,,книга,омонимия не снята,Он не боялся доверить мне острую бритву. [Маша Трауб. Плохая мать (2010)] [омонимия не снята]
 как ― амет атэ нищнеж, мыртсо ,женщин эта тема ― как , острым , , скальпелем по необезболенной душе.,"Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)",Татьяна Соломатина,1971,"Девять месяцев, или «Комедия женских положений»",2010,художественная,повесть,_,,,книга,омонимия не снята,"Судя по тому, что замуж многие и многие снова и снова выходят за тех, кто не может обеспечить или хотя бы защитить, ― для легиона женщин эта тема ― как острым скальпелем по необезболенной душе. [Татьяна Соломатина. Девять месяцев, или «Комедия женских положений» (2010)] [омонимия не снята]"
 мишьлобен ьталед олыб окгел отэ, мыртсо ,это легко было делать небольшим , острым , ," ножом, который постоянно висел на","Юрий Бондарь. Финка: «воровской» стиль // «Криминальный отдел», 2010",Юрий Бондарь,,Финка: «воровской» стиль,2010,"нехудожественная, публицистика",статья,"армия и вооруженные конфликты, криминал",«Криминальный отдел»,2010,журнал,омонимия не снята,"Отрезать кусок веревки, обстрогать палку, срезать гриб, почистить рыбу или снять шкуру со зверя ― все это легко было делать небольшим острым ножом, который постоянно висел на поясе и служил хозяину в любой ситуации, в том числе и при внезапных стычках, кабацких потасовках или « разборках». [Юрий Бондарь. Финка: «воровской» стиль // «Криминальный отдел», 2010] [омонимия не снята]"
" ,йелк йыньласревину ,киньлипан ,укчипс ,уктин", йыртсо ,"нитку, спичку, напильник, универсальный клей, ", острый , , нож или лобзик.,"неизвестный. Научные забавы. Фокусы и самоделки // Юный техник, 2010",неизвестный,,Научные забавы. Фокусы и самоделки,2010,"нехудожественная, публицистика",инструкция,производство,Юный техник,2010,журнал,омонимия не снята,"Приготовьте: флакон, пробку, сверло или спицу, небольшой гвоздь, крепкую нитку, спичку, напильник, универсальный клей, острый нож или лобзик. [неизвестный. Научные забавы. Фокусы и самоделки // Юный техник, 2010] [омонимия не снята]"
 мытсич тюазердоп итсомидохбоен ирП, мыртсо ,При необходимости подрезают чистым , острым , ," инструментом и корневую систему, оставляя","Валерия Ильина. Покоряющие высоту // «Наука и жизнь», 2009",Валерия Ильина,,Покоряющие высоту,2009,"нехудожественная, публицистика",статья,природа,«Наука и жизнь»,2009,журнал,омонимия не снята,"При необходимости подрезают чистым острым инструментом и корневую систему, оставляя не более 30 см её длины. [Валерия Ильина. Покоряющие высоту // «Наука и жизнь», 2009] [омонимия не снята]"
