Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
.екниднолб ан ясливонатсо дялгзВ, йыртсО ,Взгляд остановился на блондинке., Острый , , запах лайма мешался со слабым,"Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007)","Дмитрий Колодан, Карина Шаинян",,Над бездной вод,2007,художественная,рассказ,_,,,книга,омонимия не снята,"Взгляд остановился на блондинке. Острый запах лайма мешался со слабым ароматом водяных цветов ― почему-то было понятно, что это не духи. [Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007)] [омонимия не снята]"
-оньлетизремо ( адирдигна огонмен оген, йыртсо ,него немного ангидрида ( омерзительно-, острый , , запах которого выдавил у всех,Михаил Гиголашвили. Чертово колесо (2007),Михаил Гиголашвили,1954,Чертово колесо,2007,художественная,роман,_,,,книга,омонимия не снята,"Пока Борзик высушивал раствор, предварительно влив в него немного ангидрида ( омерзительно-острый запах которого выдавил у всех слезы и проклятия), Художник выволок из шкафчика железную коробку со шприцами: один треснут, на втором поршень разболтан, а третий ― громадный, конский, кубов на двадцать. [Михаил Гиголашвили. Чертово колесо (2007)] [омонимия не снята]"
"а ,йокер ьсолил онив ималотс", йыртсо ,"столами вино лилось рекой, а", острый , , запах шашлыков и репчатого лука,А. Е. Рекемчук. Мамонты (2006),А. Е. Рекемчук,1927,Мамонты,2006,художественная проза,роман,_,,,книга,омонимия не снята,"Были и гости из более близких краев ― например, с благодатного Кавказа,  ― за их столами вино лилось рекой, аострый запах шашлыков и репчатого лука разносился по всему залу, щекоча ноздри, там звучали громкие голоса, иногда срывающиеся в гортанный запев. [А. Е. Рекемчук. Мамонты (2006)] [омонимия не снята]"
с иматкудорп ясьтимокал ьтсоннолкс ашан, имыртсо ,наша склонность лакомиться продуктами с, острыми , , запахами ― с тех времен».,"Виктория Скобеева. От Фрейда к Даррелу // «Знание - сила», 2006",Виктория Скобеева,,От Фрейда к Даррелу,2006,"нехудожественная, учебно-научная",статья,"биология, наука и технологии, психология, социология",«Знание - сила»,2006,журнал,омонимия не снята,"Но наша склонность лакомиться продуктами сострыми запахами ― с тех времен». [Виктория Скобеева. От Фрейда к Даррелу // «Знание - сила», 2006] [омонимия не снята]"
оливолу алваП еинянобо ацпук яиназлопдоп, йыртсо ,подползания купца обоняние Павла уловило, острый , , запах лука.,"Игорь Андреев. Желтый ящик // «Знание - сила», 2006",Игорь Андреев,,Желтый ящик,2006,"нехудожественная, публицистика",статья,"история, политика и общественная жизнь",«Знание - сила»,2006,журнал,омонимия не снята,"По мере подползания купца обоняние Павла уловилоострый запах лука. [Игорь Андреев. Желтый ящик // «Знание - сила», 2006] [омонимия не снята]"
".тыс ежу отч ,тивяаЗ", еыртсО ,"Заявит, что уже сыт.", Острые , ," запахи не возбудят его, исходящий","Андрей Рубанов. Сажайте, и вырастет (2005)",Андрей Рубанов,1969,"Сажайте, и вырастет",2005,художественная,роман,_,,,книга,омонимия не снята,"Заявит, что уже сыт. Острые запахи не возбудят его, исходящий от еды пар не вызовет слюноотделения. [Андрей Рубанов. Сажайте, и вырастет (2005)] [омонимия не снята]"
",нлов муш отэ ― ьнатерБ", йыртсо ,"Бретань ― это шум волн,", острый , , запах водорослей и беспокойные крики,"Дарья Глебова. Бретань: дыхание Земноморья // «Homes & Gardens», 2004.04.30",Дарья Глебова,,Бретань: дыхание Земноморья,2004,"нехудожественная, публицистика",статья,путешествия,«Homes & Gardens»,2004.04.30,журнал,омонимия не снята,"Бретань ― это шум волн,острый запах водорослей и беспокойные крики чаек [Дарья Глебова. Бретань: дыхание Земноморья // «Homes & Gardens», 2004.04.30] [омонимия не снята]"
оньлетивиду от-йокак в янем ялд, йыртсо ,для меня в какой-то удивительно, острый , , запах счастья…,"Ольга Зуева. Любишь меня, а целуешь другую?! // «Даша», 2004",Ольга Зуева,,"Любишь меня, а целуешь другую?!",2004,"нехудожественная, публицистика",статья,частная жизнь,«Даша»,2004,журнал,омонимия не снята,"На улице была осень, и когда мы шли через парк, набрали букет ярких кленовых листьев, и этот запах осени, резкий запах мокрой листвы, горьковатый аромат клена и теплый мужской запах, исходящий от Роминого пиджака, навсегда соединились для меня в какой-то удивительноострый запах счастья… [Ольга Зуева. Любишь меня, а целуешь другую?! // «Даша», 2004] [омонимия не снята]"
"лираду сон в как ,иншюнок", йыртсо ,"конюшни, как в нос ударил", острый , ," запах, от которого резало глаза",Вальтер Запашный. Риск. Борьба. Любовь (1998-2004),Вальтер Запашный,1928,Риск. Борьба. Любовь,1998-2004,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"Едва я открыл двери конюшни, как в нос ударилострый запах, от которого резало глаза и першило в горле. [Вальтер Запашный. Риск. Борьба. Любовь (1998-2004)] [омонимия не снята]"
― екчер к мосел удИ, йыртсо ,Иду лесом к речке ―, острый , , запах земляники: метрах в десяти,"Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003","Анатолий Найман, Галина Наринская",1936,Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов,2003,"нехудожественная, публицистика",эссе,дом и домашнее хозяйство,«Октябрь»,2003,журнал,омонимия не снята,"Или: « Иду лесом к речке ―острый запах земляники: метрах в десяти ( свидетельство вашего звериного обоняния) за кочкой поляна ― вот такие ягоды, как лаком облитые, ослепительные. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]"
еелоб еще с и силук, мыртсо ,кулис и с еще более, острым , ," запахом интриг, каботинством, премьерством и","Марина Давыдова. Чайка в небе. Станиславскому исполнилось 140 лет // «Известия», 2003.01.17",Марина Давыдова,,Чайка в небе. Станиславскому исполнилось 140 лет,2003,"нехудожественная, публицистика",статья,искусство и культура,«Известия»,2003.01.17,газета,омонимия не снята,"В изменении роли и назначения театра, если понимать под этим словом не драматургию, а саму театральную практику с запахом кулис и с еще болееострым запахом интриг, каботинством, премьерством и прочими кулуарными прелестями. [Марина Давыдова. Чайка в небе. Станиславскому исполнилось 140 лет // «Известия», 2003.01.17] [омонимия не снята]"
",ысколф еыволил -онжен И", йыртсо ,"И нежно- лиловые флоксы,", острый , , запах которых будоражит память: мое,"Рада Полищук. Портреты // «Вестник США», 2003.12.10",Рада Полищук,,Портреты,2003,"нехудожественная, публицистика",мемуары,частная жизнь,«Вестник США»,2003.12.10,газета,омонимия не снята,"И нежно- лиловые флоксы,острый запах которых будоражит память: мое детство ― букет первоклассницы, прекрасный волшебный сад дворника деда Кузьмы в одесском дворике моей мамы, и кажется мне, что я вижу их в палисадниках дореволюционного местечка Юстинград, где прошло детство моего папы, и на улицах маленького города Горки, на могилевщине, где родился Лев Эммануилович. [Рада Полищук. Портреты // «Вестник США», 2003.12.10] [омонимия не снята]"
"алавовтсвучоп ано отч ,окзилб и", йыртсо ,"и близко, что она почувствовала", острый , , запах серы и испугалась.,"Тамара Орлова. Ловушка для ящериц // «Октябрь», 2003",Тамара Орлова,,Ловушка для ящериц,2003,художественная,повесть,_,«Октябрь»,2003,журнал,омонимия не снята,"Мина решила, что лучше встать и зажечь свет, обозначив свое присутствие, но мужчина вдруг чиркнул спичкой так громко и близко, что она почувствовалаострый запах серы и испугалась. [Тамара Орлова. Ловушка для ящериц // «Октябрь», 2003] [омонимия не снята]"
"юянобо ,ьлетирз как ,я оН", йыртсо ,"Но я, как зритель, обоняю", острый , , запах попсы и чувствую: меня,"Раздвоение имиджа // «Профиль», 2003.07.14",,,Раздвоение имиджа,2003,"нехудожественная, публицистика",статья,политика и общественная жизнь,«Профиль»,2003.07.14,журнал,омонимия не снята,"Но я, как зритель, обоняюострый запах попсы и чувствую: меня тут хотят купить, и купить задешево. [Раздвоение имиджа // «Профиль», 2003.07.14] [омонимия не снята]"
йынчывирпен яслилесоп емод В, йыртсо ,В доме поселился непривычный, острый , , запах младенца.,Михаил Шишкин. Всех ожидает одна ночь (1993-2003),Михаил Шишкин,1961,Всех ожидает одна ночь,1993-2003,художественная,роман,_,,,книга,омонимия не снята,В доме поселился непривычныйострый запах младенца. [Михаил Шишкин. Всех ожидает одна ночь (1993-2003)] [омонимия не снята]
"ясламиндоп юьдащолп дан окосыв ,амалси", йыртсо ,"ислама, высоко над площадью поднимался", острый , , запах их сильно разогретых на,Нина Воронель. Без прикрас. Воспоминания (1975-2003),Нина Воронель,1932,Без прикрас. Воспоминания,1975-2003,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"Далеко- далеко уходили направо и налево одинаковые коленнопреклоненные ряды воинов ислама, высоко над площадью поднималсяострый запах их сильно разогретых на беспощадном среднеазиатском солнце тел, упакованных в плотные чапаны. [Нина Воронель. Без прикрас. Воспоминания (1975-2003)] [омонимия не снята]"
и сукв йынярП, йыртсо ,Пряный вкус и, острый , , запах слов- паразитов родины ворвался,"Галина Щербакова. Ангел Мертвого озера // «Новый Мир», 2002",Галина Щербакова,1932,Ангел Мертвого озера,2002,художественная,"рассказ, цикл",_,«Новый Мир»,2002,журнал,омонимия не снята,"Пряный вкус иострый запах слов- паразитов родины ворвался ко мне в дом, даже не переступив его порога. [Галина Щербакова. Ангел Мертвого озера // «Новый Мир», 2002] [омонимия не снята]"
"огенжерп ежу тен сачйес ,адварП", огортсо ,"Правда, сейчас нет уже прежнего", острого , ," запаха опилок, смешанного с чем-то","Наталья Голованова. Тигра можно остановить только водой // «Вечерняя Москва», 2002.01.10",Наталья Голованова,,Тигра можно остановить только водой,2002,"нехудожественная, публицистика",интервью,"досуг, зрелища и развлечения",«Вечерняя Москва»,2002.01.10,газета,омонимия не снята,"Правда, сейчас нет уже прежнегоострого запаха опилок, смешанного с чем-то лошадиным, технические возможности цирков стали намного выше. [Наталья Голованова. Тигра можно остановить только водой // «Вечерняя Москва», 2002.01.10] [омонимия не снята]"
илмез то йишвидохси линмоп еще, йыртсо ,еще помнил исходивший от земли, острый , ," запах пробуждения, помнил охватившее его",Николай Дежнев. Год бродячей собаки (2002),Николай Дежнев,1946,Год бродячей собаки,2002,художественная,роман,_,,,книга,омонимия не снята,"Ему казалось, что только вчера был тот яркий весенний день, он еще помнил исходивший от землиострый запах пробуждения, помнил охватившее его вдруг острое желание жить. [Николай Дежнев. Год бродячей собаки (2002)] [омонимия не снята]"
"ьтунходв ,ьтсик икур в ьтязв", йыртсо ,"взять в руки кисть, вдохнуть", острый , ," запах масляных красок… Как думаешь,",Николай Дежнев. Год бродячей собаки (2002),Николай Дежнев,1946,Год бродячей собаки,2002,художественная,роман,_,,,книга,омонимия не снята,"Хочется писать, хочется взять в руки кисть, вдохнутьострый запах масляных красок… Как думаешь, может быть, действительно, мне все привиделось?.. [Николай Дежнев. Год бродячей собаки (2002)] [омонимия не снята]"
"с отолоб итйереп ,евд ытсрев", мыртсо ,"версты две, перейти болото с", острым , ," запахом багульника, дойти до речки","Павел Кузнецов. Деревенский дневник // «Звезда», 2002",Павел Кузнецов,,Деревенский дневник,2002,"нехудожественная, публицистика",очерк,частная жизнь,«Звезда»,2002,журнал,омонимия не снята,"Но если повернуть направо по заросшей Обрской дороге, пройти версты две, перейти болото сострым запахом багульника, дойти до речки Рожни с берегами, изрезанными бобровыми норами, то все вдруг меняется. [Павел Кузнецов. Деревенский дневник // «Звезда», 2002] [омонимия не снята]"
и яижуро и алсам огоннишам, йыртсо ,машинного масла и оружия и, острый , , запах цветов наполняет Таджикистан.,Эдуард Лимонов. Книга воды (2002),Эдуард Лимонов,1943,Книга воды,2002,художественная,повесть,_,,,книга,омонимия не снята,"Запах бараньего жира и мяса, пекущегося хлеба, солдатского пота, машинного масла и оружия иострый запах цветов наполняет Таджикистан. [Эдуард Лимонов. Книга воды (2002)] [омонимия не снята]"
"ирдзон в йищюяраду ,вокичзовзи асолог", йыртсо ,"голоса извозчиков, ударяющий в ноздри", острый , , запах лошадиного навоза населяли каменные,Александр Городницкий. «И жить еще надежде» (2001),Александр Городницкий,1933,«И жить еще надежде»,2001,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"Звонкое цоканье конских копыт по еще булыжной мостовой, ржание и всхрапывание лошадей, ласково зазывающие голоса извозчиков, ударяющий в ноздриострый запах лошадиного навоза населяли каменные городские просторы реальной жизнью. [Александр Городницкий. «И жить еще надежде» (2001)] [омонимия не снята]"
ляотс етанмок В, йыртсо ,В комнате стоял, острый , , запах зеленой микстуры.,"Александр Пятигорский. Древний Человек в Городе // «Октябрь», 2001",Александр Пятигорский,1929,Древний Человек в Городе,2001,художественная,роман,_,«Октябрь»,2001,журнал,омонимия не снята,"В комнате стоялострый запах зеленой микстуры. [Александр Пятигорский. Древний Человек в Городе // «Октябрь», 2001] [омонимия не снята]"
.яслирущ и »кясок « лирук, йыртсО ,курил « косяк» и щурился., Острый , , запах анаши плыл по длинному,Андрей Житков. Кафедра (2000),Андрей Житков,1962,Кафедра,2000,художественная,роман,_,,,книга,омонимия не снята,Он курил « косяк» и щурился. Острый запах анаши плыл по длинному общаговскому коридору. [Андрей Житков. Кафедра (2000)] [омонимия не снята]
от-йокак и икчолещ ― икзалГ, йыртсо ,Глазки ― щелочки и какой-то, острый , , запах.,Галина Щербакова. Восхождение на холм царя Соломона с коляской и велосипедом (2000),Галина Щербакова,1932,Восхождение на холм царя Соломона с коляской и велосипедом,2000,художественная,роман,_,,,книга,омонимия не снята,Глазки ― щелочки и какой-тоострый запах. [Галина Щербакова. Восхождение на холм царя Соломона с коляской и велосипедом (2000)] [омонимия не снята]
.момыд микде ьсалинлопан атанмок ясВ, йыртсО ,Вся комната наполнилась едким дымом., Острый , ," запах заставил ученого отвернуться, это",Борис Хазанов. Хроника о Картафиле (1999),Борис Хазанов,1928,Хроника о Картафиле,1999,художественная,рассказ,_,,,книга,омонимия не снята,"Вся комната наполнилась едким дымом. Острый запах заставил ученого отвернуться, это был запах обугленных костей. [Борис Хазанов. Хроника о Картафиле (1999)] [омонимия не снята]"
и алсам еиначровкС, еыртсо ,Скворчание масла и, острые , , запахи еды ― главные в,Ирина Соколова. Бабочки летают (заметки о Тайване) (1999),Ирина Соколова,,Бабочки летают (заметки о Тайване),1999,"нехудожественная, публицистика",монография,путешествия,,,электронный текст,омонимия не снята,Скворчание масла иострые запахи еды ― главные в эти часы. [Ирина Соколова. Бабочки летают (заметки о Тайване) (1999)] [омонимия не снята]
удюсвоп ― орту еондалхорп ан, йыртсо ,на прохладное утро ― повсюду, острый , , запах пота.,Олег Глушкин. Пути паромов (1990-1999),Олег Глушкин,1937,Пути паромов,1990-1999,художественная,рассказ,_,,,книга,омонимия не снята,Несмотря на прохладное утро ― повсюдуострый запах пота. [Олег Глушкин. Пути паромов (1990-1999)] [омонимия не снята]
"яахыдв ,ьтедис яслатсо кат и", йыртсо ,"и так остался сидеть, вдыхая", острый , , запах могильной земли.,Елена Хаецкая. Мракобес/ Дорога (1997),Елена Хаецкая,1963,Мракобес/ Дорога,1997,художественная,повесть,_,,,книга,омонимия не снята,"И Иеронимус положил ладонь на растрепанные светлые волосы и так остался сидеть, вдыхаяострый запах могильной земли. [Елена Хаецкая. Мракобес/ Дорога (1997)] [омонимия не снята]"
( ызол йончер нелт йорыс, йыртсо ,сырой тлен речной лозы (, острый , , запах реки)? ,"Владимир Маканин. Андеграунд, или герой нашего времени (1996-1997)",Владимир Маканин,1937,"Андеграунд, или герой нашего времени",1996-1997,художественная,роман,_,,,книга,омонимия не снята,"А сырой тлен речной лозы (острый запах реки)?  [Владимир Маканин. Андеграунд, или герой нашего времени (1996-1997)] [омонимия не снята]"
"он ,йыбалс лавовтсвучоп я ,омим", йыртсо ,"мимо, я почувствовал слабый, но", острый , , запах свежевскопанной земли и увидел,"Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996)","Андрей Лазарчук, Михаил Успенский",1958,Посмотри в глаза чудовищ,1996,художественная,роман,_,,,книга,омонимия не снята,"Когда леди проходила мимо, я почувствовал слабый, ноострый запах свежевскопанной земли и увидел на груди ее монисто из лягушачьих вилок и « куриных богов». [Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996)] [омонимия не снята]"
и авилпот огони то мыд, йыртсо ,дым от иного топлива и, острый , , запах мясной еды.,Людмила Улицкая. Медея и ее дети (1996),Людмила Улицкая,1943,Медея и ее дети,1996,художественная,повесть,_,,,книга,омонимия не снята,"Было самое раннее, самое новорожденное утро, любимейшее Медеино время, и после тяжелой, грязной железнодорожной жизни она особенно остро ощущала священную чистоту утра, его запахи, в которых к знакомым примешивались незнакомые: дым от иного топлива иострый запах мясной еды. [Людмила Улицкая. Медея и ее дети (1996)] [омонимия не снята]"
и йераселс и ворефош евтсещбо, йыртсо ,обществе шоферов и слесарей и, острый , ," запах сырой подпорченной рыбы, которой",Борис Левин. Блуждающие огни (1995),Борис Левин,1938,Блуждающие огни,1995,художественная,роман,_,,,книга,омонимия не снята,"В памяти об этом периоде моей жизни, к счастью продолжавшемся не более полугода, осталась перманентная пьянка в обществе шоферов и слесарей иострый запах сырой подпорченной рыбы, которой я обязался кормить ненавидевшего меня злобного рыжего кота, пока хозяева квартиры, которую я снимал, наслаждались путешествием по городам и весям. [Борис Левин. Блуждающие огни (1995)] [омонимия не снята]"
яслитущо онневтсвя ектанмок йолеб йолпет, йыртсо ,теплой белой комнатке явственно ощутился, острый , , запах спирта.,Анатолий Приставкин. Радиостанция «Тамара» (1994),Анатолий Приставкин,1931,Радиостанция «Тамара»,1994,художественная,повесть,_,,,книга,омонимия не снята,"Потом он пустил нас, но прежде, кажется, принял чего-то для облегчения, и с морозца в теплой белой комнатке явственно ощутилсяострый запах спирта. [Анатолий Приставкин. Радиостанция «Тамара» (1994)] [омонимия не снята]"
тО, огортсо ,От, острого , , запаха растопленного сала Виктору захотелось,Сергей Бабаян. Господа офицеры (1994),Сергей Бабаян,1958,Господа офицеры,1994,художественная,роман,_,,,книга,омонимия не снята,"Отострого запаха растопленного сала Виктору захотелось есть… голод пробился через унылую, злобную какую-то тоску. [Сергей Бабаян. Господа офицеры (1994)] [омонимия не снята]"
",варт хикид худ йичугом лавилвалу", йыртсо ,"улавливал могучий дух диких трав,", острый , ," запах конского пота: это, растекаясь",Николай Дежнев. В концертном исполнении (1993),Николай Дежнев,1946,В концертном исполнении,1993,художественная,роман,_,,,книга,омонимия не снята,"Сыростью болот Междуречья пахли таблички шумеров, раскаленным песком и благовониями ― папирусы древних египтян, он улавливал могучий дух диких трав,острый запах конского пота: это, растекаясь по бескрайним просторам степей, шла конница Золотой Орды. [Николай Дежнев. В концертном исполнении (1993)] [омонимия не снята]"
леш илмез тО, йыртсо ,От земли шел, острый , ," запах пробуждавшихся к жизни трав,",Николай Дежнев. В концертном исполнении (1993),Николай Дежнев,1946,В концертном исполнении,1993,художественная,роман,_,,,книга,омонимия не снята,"От земли шелострый запах пробуждавшихся к жизни трав, и в высоком, бесконечно голубом небе стояли картинными громадами белые, ватные облака. [Николай Дежнев. В концертном исполнении (1993)] [омонимия не снята]"
"идерс ,хемс и тлавг доп", хыртсо ,"под гвалт и смех, среди", острых , , запахов съестного.,"Руслан Киреев. Пожарник Афродита // Библиотека «Огонек», 1989",Руслан Киреев,1941,Пожарник Афродита,1989,художественная,рассказ,_,Библиотека «Огонек»,1989,журнал,омонимия не снята,"Именно балаганы ― на базарных площадях, под крики зазывал, под гвалт и смех, средиострых запахов съестного. [Руслан Киреев. Пожарник Афродита // Библиотека «Огонек», 1989] [омонимия не снята]"
"ляотс екдащолп ан огечто ,алет", йыртсо ,"тела, отчего на площадке стоял", острый , ," запах, смешанный с чадом от",С. М. Голицын. Записки уцелевшего (1980-1989),С. М. Голицын,1909,Записки уцелевшего,1980-1989,художественная,"мемуары, роман","политика и общественная жизнь, частная жизнь",,,книга,омонимия не снята,"За второй дверью жила студентка- медичка, скромная девушка, время от времени притаскивавшая домой части человеческого тела, отчего на площадке стоялострый запах, смешанный с чадом от примусов и подгорелых кушаний. [С. М. Голицын. Записки уцелевшего (1980-1989)] [омонимия не снята]"
"с ,оготсинеп тусенирп и цилыбок", мыртсо ,"кобылиц и принесут пенистого, с", острым , , запахом молока.,О. В. Волков. Из воспоминаний старого тенишевца (1988),О. В. Волков,1900,Из воспоминаний старого тенишевца,1988,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"А вовсе маленькие калмычата с живыми черными, как у куликов, глазами и плоскими лицами выжидательно смотрели на матерей, когда они пойдут доить кобылиц и принесут пенистого, сострым запахом молока. [О. В. Волков. Из воспоминаний старого тенишевца (1988)] [омонимия не снята]"
"омисонывен ,йыньлетизнорП", йыртсо ,"Пронзительный, невыносимо", острый , ," запах ― не то серы,","Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987)","Аркадий Вайнер, Георгий Вайнер",1931 | 1938,Лекарство против страха,1987,художественная,роман,_,,,книга,омонимия не снята,"Пронзительный, невыносимоострый запах ― не то серы, не то йода ― шибанул в нос. [Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987)] [омонимия не снята]"
иксечифицепс :анотеклинеф ухапаз оп отсорп, йыртсо ,просто по запаху фенилкетона: специфически, острый , ," запах, которым пахнет мама, ее","Почему родится горе // «Знание ― сила», 1987",,,Почему родится горе,1987,"нехудожественная, учебно-научная",беседа,"биология, наука и технологии",«Знание ― сила»,1987,журнал,омонимия не снята,"Мы и сегодня диагностируем детей, попадающих к нам из других регионов страны, просто по запаху фенилкетона: специфическиострый запах, которым пахнет мама, ее волосы, ее одежда, сам ребенок, ― диагноз на уровне обоняния. [Почему родится горе // «Знание ― сила», 1987] [омонимия не снята]"
".едов к лишепс мокоб ,ортсыб", йыртсО ,"быстро, боком спешил к воде.", Острый , , запах водорослей ударял в нос.,Геннадий Алексеев. Зеленые берега (1983-1984),Геннадий Алексеев,1932,Зеленые берега,1983-1984,художественная,роман,_,,,книга,омонимия не снята,"быстро, боком спешил к воде. Острый запах водорослей ударял в нос. [Геннадий Алексеев. Зеленые берега (1983-1984)] [омонимия не снята]"
