Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
 имикгел с ― уолс йымеавызан, ортсо ,называемый слоу ― с легкими , остро ,-, сладкими заправками.,"Имбирь + лайм + кориандр // «Homes & Gardens», 2004.04.16",,,Имбирь + лайм + кориандр,2004,"нехудожественная, публицистика",рецепт,дом и домашнее хозяйство,«Homes & Gardens»,2004.04.16,журнал,омонимия не снята,"В дополнение к основным блюдам советуем приготовить свежий салат из зелени и восточный салат из краснокачанной капусты ― так называемый слоу ― с легкими остро-сладкими заправками. [Имбирь + лайм + кориандр // «Homes & Gardens», 2004.04.16] [омонимия не снята]"
 !лад отэ ― едзев и, еортсО ,и везде ― это дал! , Острое , , варево из дробленой чечевицы или из,Марина Москвина. Небесные тихоходы: путешествие в Индию (2003),Марина Москвина,1954,Небесные тихоходы: путешествие в Индию,2003,"нехудожественная, публицистика",очерк,путешествия,,,книга,омонимия не снята,"повсюду и везде ― это дал!  Острое варево из дробленой чечевицы или из лущеного гороха, фасоли или вьющихся бобов ― с топленым маслом, лимонным соком, кокосовым орехом, арахисом, картошкой, цветной капустой, кабачками, йогуртом, тмином, перцем ― обязательно!  [Марина Москвина. Небесные тихоходы: путешествие в Индию (2003)] [омонимия не снята]"
"( абутшуг ,)ирак -анинараб (", еыртсо ,"( баранина- кари), гуштуба (", острые , , тефтели в йогурте) и бирияни,Марина Москвина. Небесные тихоходы: путешествие в Индию (2003),Марина Москвина,1954,Небесные тихоходы: путешествие в Индию,2003,"нехудожественная, публицистика",очерк,путешествия,,,книга,омонимия не снята,"На « северной» стороне стола были представлены самые популярные блюда севера ― роган- джош ( баранина- кари), гуштуба (острые тефтели в йогурте) и бирияни ( курица с апельсиновым соком и рисом), а также знаменитые северные тандури ( на вид непонятно ― курица, мясо или рыба, могло быть и то, и другое, и третье), маринованные с травами и запеченные в глиняной печи. [Марина Москвина. Небесные тихоходы: путешествие в Индию (2003)] [омонимия не снята]"
" ,мосихара и мохорог с ,мотанипш", йыртсо ,"шпинатом, с горохом и арахисом, ", острый , , рис со щепоткой чабреца…,Марина Москвина. Небесные тихоходы: путешествие в Индию (2003),Марина Москвина,1954,Небесные тихоходы: путешествие в Индию,2003,"нехудожественная, публицистика",очерк,путешествия,,,книга,омонимия не снята,"Одних казанов риса над медленным огнем висело восемь или девять: продолговатый рис в густом кокосовом молоке с кардамоном и корицей, лимонный рис с семенами кориандра, рис вперемешку с картофелем, осыпанный красным перцем и тмином, рис вместе с шариками творога, красный, желтый рис, разноцветный, со шпинатом, с горохом и арахисом, острый рис со щепоткой чабреца… [Марина Москвина. Небесные тихоходы: путешествие в Индию (2003)] [омонимия не снята]"
" ,яинедап ,вораду ьтагебзи ,еечярог ан", огортсо ,"на горячее, избегать ударов, падения, ", острого ,", ", холодного…,Влада Валеева. Скорая помощь (2002),Влада Валеева,,Скорая помощь,2002,художественная,роман,_,,,книга,омонимия не снята,"Своего рода защитная реакция, которая учит человека дуть на горячее, избегать ударов, падения, острого, холодного… [Влада Валеева. Скорая помощь (2002)] [омонимия не снята]"
 йотсуг тюатичс яьлемхоп то мовтсракел, йыртсо ,лекарством от похмелья считают густой , острый , ," суп menudo из телячьих ножек,","Владимир Салмин. Утро похмельной казни. Таблетки для водителей создают лишь видимость трезвости // «Известия», 2002.12.30",Владимир Салмин,,Утро похмельной казни. Таблетки для водителей создают лишь видимость трезвости,2002,"нехудожественная, публицистика",статья,политика и общественная жизнь,«Известия»,2002.12.30,газета,омонимия не снята,"Мексиканцы лучшим лекарством от похмелья считают густой острый суп menudo из телячьих ножек, требухи, зеленого перца чили, кукурузной муки и приправ. [Владимир Салмин. Утро похмельной казни. Таблетки для водителей создают лишь видимость трезвости // «Известия», 2002.12.30] [омонимия не снята]"
 мЕ, еыртсо ,Ем , острые , , крылышки и смотрю на обедающих,Владимир Спектр. Face Control (2002),Владимир Спектр,,Face Control,2002,художественная,роман,_,,,книга,омонимия не снята,"Ем острые крылышки и смотрю на обедающих рядом: какие-то отстойные экспаты, явно англосаксонского происхождения, одна- две солнцевские бригады, коммерсанты средней руки. [Владимир Спектр. Face Control (2002)] [омонимия не снята]"
 то ясьтажредзов ешчул ьнед тотэ, йортсо ,этот день лучше воздержаться от , острой , , пищи и кофе.,"Елена Голованова. Человек и погода. Как жить // «Домовой», 2002.10.04",Елена Голованова,,Человек и погода. Как жить,2002,"нехудожественная, публицистика",статья,здоровье и медицина,«Домовой»,2002.10.04,журнал,омонимия не снята,"Если синоптики обещают грозу, в этот день лучше воздержаться от острой пищи и кофе. [Елена Голованова. Человек и погода. Как жить // «Домовой», 2002.10.04] [омонимия не снята]"
" ,огокраж яинелвотогирп ялд тидохдоп мохапаз", хыртсо ,"запахом подходит для приготовления жаркого, ", острых , ," салатов, томатного соуса; зеленоватое масло","Инна Щепеткова. Оле, олива! // «Семейный доктор», 2002.05.15",Инна Щепеткова,,"Оле, олива!",2002,"нехудожественная, публицистика",статья,здоровье и медицина,«Семейный доктор»,2002.05.15,журнал,омонимия не снята,"Кстати, испанки, гречанки и итальянки предпочитают держать на кухне несколько бутылочек: масло с интенсивным запахом подходит для приготовления жаркого, острых салатов, томатного соуса; зеленоватое масло из Тосканы ― для пасты и риса; деликатное из Лигурии прекрасно « смотрится» в овощных салатах и песто, а маслом из Андалузии хорошо сбрызнуть овощи и рыбу перед самой подачей к столу. [Инна Щепеткова. Оле, олива! // «Семейный доктор», 2002.05.15] [омонимия не снята]"
" и еынжен ,икшеро ,ысетакилед еиксром", еыртсо ,"морские деликатесы, орешки, нежные и ", острые , , сыры.,"Светлана Ткачева. Искрящийся золотом напиток // «100% здоровья», 2002.12.11",Светлана Ткачева,,Искрящийся золотом напиток,2002,"нехудожественная, публицистика",статья,производство,«100% здоровья»,2002.12.11,журнал,омонимия не снята,"Но независимо от того, последует или нет за бокалом шампанского банкет, к напиткам подают холодные закуски, морские деликатесы, орешки, нежные и острые сыры. [Светлана Ткачева. Искрящийся золотом напиток // «100% здоровья», 2002.12.11] [омонимия не снята]"
 с етсемв евтсечилок мошьлоб в, йортсо ,в большом количестве вместе с , острой , , пищей).,"Татьяна Мироненко. Ягодный парад // «Семейный доктор», 2002.06.15",Татьяна Мироненко,,Ягодный парад,2002,"нехудожественная, публицистика",статья,здоровье и медицина,«Семейный доктор»,2002.06.15,журнал,омонимия не снята,"Сок из свежих ягод рекомендуется принимать натощак при гастрите с пониженной кислотностью желудочного сока, при остеохондрозе, холецистите, при геморрое, глистной инвазии ( в большом количестве вместе с острой пищей). [Татьяна Мироненко. Ягодный парад // «Семейный доктор», 2002.06.15] [омонимия не снята]"
 яачюнов иилатИ В, яартсо ,В Италии вонючая , острая , ," пища, и там дико холодно,",Эдуард Лимонов. Книга воды (2002),Эдуард Лимонов,1943,Книга воды,2002,художественная,повесть,_,,,книга,омонимия не снята,"В Италии вонючая острая пища, и там дико холодно, ― эти истины я запомнил из своего пребывания в Италии зимой с 1974- го на 75- й год. [Эдуард Лимонов. Книга воды (2002)] [омонимия не снята]"
" ,енатемс в ыбирг ,юьлешимрев с", йыртсо ,"с вермишелью, грибы в сметане, ", острый , ," рис с кокосовой стружкой, картофель","Британский наставник // «Домовой», 2002.11.04",,,Британский наставник,2002,"нехудожественная, публицистика",статья,"наука и технологии, образование",«Домовой»,2002.11.04,журнал,омонимия не снята,"Ужин: салат- бар, жареная говядина с зеленым перцем и соусом из черных бобов, куриные крылышки с острой приправой, коктейль из морепродуктов с вермишелью, грибы в сметане, острый рис с кокосовой стружкой, картофель фри, брокколи, свежие фрукты, выпечка, сыры, десерт, чай, кофе. [Британский наставник // «Домовой», 2002.11.04] [омонимия не снята]"
 юукат угом ен отсорП, юуртсо ,Просто не могу такую , острую , ," пищу употреблять, тем более красный","Встреча с Ю. В. Андроповым // «Жизнь национальностей», 2002.10.14",,,Встреча с Ю. В. Андроповым,2002,"нехудожественная, публицистика",интервью,политика и общественная жизнь,«Жизнь национальностей»,2002.10.14,журнал,омонимия не снята,"Просто не могу такую острую пищу употреблять, тем более красный перец, ― откровенно признался я. [Встреча с Ю. В. Андроповым // «Жизнь национальностей», 2002.10.14] [омонимия не снята]"
" и ,огонриж оннебосо ,асям зеБ", йортсо ,"Без мяса, особенно жирного, и ", острой , ," пищи не мыслит жизни властная,","Кто ты - фосфорус или сульфур? // «Домовой», 2002.03.04",,,Кто ты - фосфорус или сульфур?,2002,"нехудожественная, публицистика",статья,наука и технологии,«Домовой»,2002.03.04,журнал,омонимия не снята,"Без мяса, особенно жирного, и острой пищи не мыслит жизни властная, раздражительная и задиристая натура. [Кто ты - фосфорус или сульфур? // «Домовой», 2002.03.04] [омонимия не снята]"
" икжол еыволотс 2 ,ыцичрог акжол", огортсо ,"ложка горчицы, 2 столовые ложки ", острого , , кетчупа.,"Новый год с огоньком // «100% здоровья», 2002.12.11",,,Новый год с огоньком,2002,"нехудожественная, публицистика",статья,"досуг, зрелища и развлечения",«100% здоровья»,2002.12.11,журнал,омонимия не снята,"500 г свинины, стакан кефира, столовая ложка горчицы, 2 столовые ложки острого кетчупа. [Новый год с огоньком // «100% здоровья», 2002.12.11] [омонимия не снята]"
" ,алкетс еынниртив ,ытсирут еиксдевш ,ыток", йыртсо ,"коты, шведские туристы, витринные стекла, ", острый , ," кетчуп, сытые голуби сделались фактурнее","Александр Гаррос, Алексей Евдокимов. [Голово]ломка (2001)","Александр Гаррос, Алексей Евдокимов",1975,[Голово]ломка,2001,художественная,роман,_,,,книга,омонимия не снята,"Романские контрфорсы, картонные стаканчики Coca- Cola, стриженые кусты, сардельки, блондинки, машины, пивные бутылки, коты, шведские туристы, витринные стекла, острый кетчуп, сытые голуби сделались фактурнее и привлекательнее, обзавелись невидимыми, но прочитываемыми ценниками. [Александр Гаррос, Алексей Евдокимов. [Голово]ломка (2001)] [омонимия не снята]"
 от-йокак мотамора с яславишемс икер, йортсо ,реки смешивался с ароматом какой-то , острой , ," пищи, дымом очага, топившегося углем.",Валериан Скворцов. Сингапурский квартет (2001),Валериан Скворцов,1935,Сингапурский квартет,2001,художественная,роман,_,,,книга,омонимия не снята,"Запах реки смешивался с ароматом какой-то острой пищи, дымом очага, топившегося углем. [Валериан Скворцов. Сингапурский квартет (2001)] [омонимия не снята]"
"« оньлаков в и ,атка", мортсо ,"акта, и в вокально «", остром ,» , втором акте.,"Юлия Кантор. Полет нормальный. На сцене Мариинского театра ― «Валькирия» Вагнера // «Известия», 2001.06.20",Юлия Кантор,,Полет нормальный. На сцене Мариинского театра ― «Валькирия» Вагнера,2001,"нехудожественная, публицистика",статья,искусство и культура,«Известия»,2001.06.20,газета,омонимия не снята,"Абсолютное владение великолепным голосом и сценическая грация делают Зиглинду в равной мере успешной и в лирических эпизодах первого акта, и в вокально «остром» втором акте. [Юлия Кантор. Полет нормальный. На сцене Мариинского театра ― «Валькирия» Вагнера // «Известия», 2001.06.20] [омонимия не снята]"
" мокшилс ,еинеджалхоереП", яартсо ,"Переохлаждение, слишком ", острая , ," пища, обильные возлияния, малоподвижный образ","Вы спрашивали ― отвечаем // «Аргументы и факты», 2001.02.14",,,Вы спрашивали ― отвечаем,2001,"нехудожественная, публицистика",статья,частная жизнь,«Аргументы и факты»,2001.02.14,газета,омонимия не снята,"Переохлаждение, слишком острая пища, обильные возлияния, малоподвижный образ жизни ― сидячая работа, беспорядочная половая жизнь, любая из этих причин может привести к возникновению болезни. [Вы спрашивали ― отвечаем // «Аргументы и факты», 2001.02.14] [омонимия не снята]"
 и хикнот авд илапокв аровд, хыртсо ,двора вкопали два тонких и , острых , , кола.,Алексей Иванов. Сердце Пармы (2000),Алексей Иванов,1969,Сердце Пармы,2000,художественная,роман,_,,,книга,омонимия не снята,Потом посередине двора вкопали два тонких и острых кола. [Алексей Иванов. Сердце Пармы (2000)] [омонимия не снята]
" уклытуб юлетапукоп умоджак алачурв ,ьсяабылу", огортсо ,"улыбаясь, вручала каждому покупателю бутылку ", острого , , кетчупа.,Андрей Житков. Супермаркет (2000),Андрей Житков,1962,Супермаркет,2000,художественная,роман,_,,,книга,омонимия не снята,"Кто-то уже наполнил свою тележку всякой всячиной и вез ее к кассе, где его ждала приятная неожиданность ― гренадерского роста усатая контролерша, широко улыбаясь, вручала каждому покупателю бутылку острого кетчупа. [Андрей Житков. Супермаркет (2000)] [омонимия не снята]"
 лунзырб умосоловонреч азалг в еен, йыртсо ,нее в глаза черноволосому брызнул , острый , , кетчуп.,Андрей Житков. Супермаркет (2000),Андрей Житков,1962,Супермаркет,2000,художественная,роман,_,,,книга,омонимия не снята,"Удар получился таким сильным, что она больно отбила себе руку, а банка треснула, и из нее в глаза черноволосому брызнул острый кетчуп. [Андрей Житков. Супермаркет (2000)] [омонимия не снята]"
 одроб мылеб микгел ьтавипаз язьлен, йыртсо ,нельзя запивать легким белым бордо , острый , , сыр.,Марианна Баконина. Девять граммов пластита (2000),Марианна Баконина,1964,Девять граммов пластита,2000,художественная,роман,_,,,книга,омонимия не снята,"Разбирался в винах, знал, что к чему идет и почему нельзя запивать легким белым бордо острый сыр. [Марианна Баконина. Девять граммов пластита (2000)] [омонимия не снята]"
" и ,иксьнаучыс -оп анинивс и", йыртсо ,"и свинина по- сычуаньски, и ", острый , ," суп, и знаменитые китайские пельмени,",Петр Галицкий. Цена Шагала (2000),Петр Галицкий,,Цена Шагала,2000,художественная,роман,_,,,книга,омонимия не снята,"Были здесь и чудные печеные грибочки « му- эр», и язык в пяти специях, и свинина по- сычуаньски, и острый суп, и знаменитые китайские пельмени, и, конечно, зеленый чай, которым все начиналось и заканчивалось. [Петр Галицкий. Цена Шагала (2000)] [омонимия не снята]"
 онжом авилсомас яинечепсебо ялд ямерв, мыртсо ,время для обеспечения самослива можно , острым , , горячим предметом проплавить отверстие диаметром,Руководство по эксплуатации насоса (2000),,,Руководство по эксплуатации насоса,2000,"бытовая, нехудожественная",инструкция,техника,,,прочая печатная продукция,омонимия не снята,"Чтобы исключить замерзание воды в шланге и трубах в зимнее время для обеспечения самослива можно острым горячим предметом проплавить отверстие диаметром 1, 5 ― 2 мм в шланге у выхода насоса. [Руководство по эксплуатации насоса (2000)] [омонимия не снята]"
 с кощроБ, имыртсо ,Борщок с , острыми , , гренками ,Что у нас на обед (2000),,,Что у нас на обед,2000,"бытовая, нехудожественная",рецепт,дом и домашнее хозяйство,,,книга,омонимия не снята,Борщок с острыми гренками [Что у нас на обед (2000)] [омонимия не снята]
 ястудалк уклерат юувокжорип ан оньледто, еыртсо ,отдельно на пирожковую тарелку кладутся , острые , , гренки.,Что у нас на обед (2000),,,Что у нас на обед,2000,"бытовая, нехудожественная",рецепт,дом и домашнее хозяйство,,,книга,омонимия не снята,"Подается борщок в бульонной чашке, отдельно на пирожковую тарелку кладутся острые гренки. [Что у нас на обед (2000)] [омонимия не снята]"
 яинелвотогирп ялД, хыртсо ,Для приготовления , острых , , гренок из белого хлеба нарезать,Что у нас на обед (2000),,,Что у нас на обед,2000,"бытовая, нехудожественная",рецепт,дом и домашнее хозяйство,,,книга,омонимия не снята,"Для приготовления острых гренок из белого хлеба нарезать куски в форме прямоугольников размером 4× 6 см, толщиной около 0, 5 см и слегка обжарить их на масле. [Что у нас на обед (2000)] [омонимия не снята]"
" ,абелх оголеб ,ыничтев екретсок ан", огортсо ,"на костерке ветчины, белого хлеба, ", острого , ," сыра, зелени и непременного вина.",Андрей Белянин. Свирепый ландграф (1999),Андрей Белянин,1967,Свирепый ландграф,1999,художественная,роман,_,,,книга,омонимия не снята,"Утренняя трапеза состояла из поджаренной на костерке ветчины, белого хлеба, острого сыра, зелени и непременного вина. [Андрей Белянин. Свирепый ландграф (1999)] [омонимия не снята]"
 и юунриж аноицар зи етичюлксИ, юуртсо ,Исключите из рациона жирную и , острую , ," пищу, поменьше ешьте сладостей ―",Владимир Шахиджанян. 1001 вопрос про ЭТО (№№ 1-500) (1999),Владимир Шахиджанян,1940,1001 вопрос про ЭТО (№№ 1-500),1999,"нехудожественная, учебно-научная",учебное пособие,здоровье и медицина,,,книга,омонимия не снята,"Исключите из рациона жирную и острую пищу, поменьше ешьте сладостей ― сахара достаточно в организме и в тех продуктах, где он содержится в натуральном виде. [Владимир Шахиджанян. 1001 вопрос про ЭТО (№№ 1-500) (1999)] [омонимия не снята]"
 еинечелву или ссертс ен теавызывюутсачаз, йортсо ,зачастуювызывает не стресс или увлечение , острой , ," пищей, как считалось раньше, а","И. Климовская. О желудке // «Здоровье», 1999.03.15",И. Климовская,,О желудке,1999,"нехудожественная, публицистика",статья,здоровье и медицина,«Здоровье»,1999.03.15,журнал,омонимия не снята,"Ученые США и Швеции установили, что язву желудка зачастуювызывает не стресс или увлечение острой пищей, как считалось раньше, а особая бактерия ― хеликобактер пилори. [И. Климовская. О желудке // «Здоровье», 1999.03.15] [омонимия не снята]"
 меЧ, еертсо ,Чем , острее , ," лук, тем больше их в","Т. А. Гаврилова, Т. М. Воробьева. Домашнее консервирование (1999)","Т. А. Гаврилова, Т. М. Воробьева",,Домашнее консервирование,1999,"нехудожественная, публицистика",монография,дом и домашнее хозяйство,,,книга,омонимия не снята,"Чем острее лук, тем больше их в нем. [Т. А. Гаврилова, Т. М. Воробьева. Домашнее консервирование (1999)] [омонимия не снята]"
" огондолох мокишвок с ьсалащарвзов ,ехабур", огортсо ,"рубахе, возвращалась с ковшиком холодного ", острого , , кваса.,Борис Хазанов. Далекое зрелище лесов (1998),Борис Хазанов,1928,Далекое зрелище лесов,1998,художественная,повесть,_,,,книга,омонимия не снята,"Ее пальцы, которые я теперь так хорошо знал, отколупнули пуговку на груди, закрыв глаза, она лежала среди белых сугробов, на своей высокой кровати, под вечер доила корову, среди ночи вставала и босиком, в белой рубахе, возвращалась с ковшиком холодного острого кваса. [Борис Хазанов. Далекое зрелище лесов (1998)] [омонимия не снята]"
" …яинеджалсан икип яяладто от ,яажилбирп", еыртсо ,"приближая, то отдаляя пики наслаждения… ", острые ,", ", сладкие пики.,Сергей Осипов. Страсти по Фоме. Книга вторая. Примус интер парэс (1998),Сергей Осипов,,Страсти по Фоме. Книга вторая. Примус интер парэс,1998,художественная,роман,_,,,книга,омонимия не снята,"Лоро чувствовал, что может оседлать время, он все мог, то приближая, то отдаляя пики наслаждения… острые, сладкие пики. [Сергей Осипов. Страсти по Фоме. Книга вторая. Примус интер парэс (1998)] [омонимия не снята]"
« :адровссорк сорпов ан реждйенит, йыртсО ,тинейджер на вопрос кроссворда: «, Острый , , кетчуп» ― напишет: « Горький».,"Владимир Казаков. Жизнь замечательных кетчупов // «Столица», 1997.09.29",Владимир Казаков,,Жизнь замечательных кетчупов,1997,"нехудожественная, публицистика",статья,производство,«Столица»,1997.09.29,журнал,омонимия не снята,"Максимум чего, как мне кажется, этим можно добиться, ― что какой-нибудь тинейджер на вопрос кроссворда: «Острый кетчуп» ― напишет: « Горький». [Владимир Казаков. Жизнь замечательных кетчупов // «Столица», 1997.09.29] [омонимия не снята]"
" как ,йоннечропдоп ,хынизаХ зи йонсеретни", йыртсо ,"интересной из Хазиных, подпорченной, как ", острый , ," сыр рокфор, одновременно болезненной и",Эмма Герштейн. Перечень обид (1997),Эмма Герштейн,1903,Перечень обид,1997,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"Между тем психически неполноценной была Аня, а именно Надю мы все считали самой интересной из Хазиных, подпорченной, как острый сыр рокфор, одновременно болезненной и выносливой, напористой и кроткой, дерзкой и нежной, болтливой и умной. [Эмма Герштейн. Перечень обид (1997)] [омонимия не снята]"
" еотилоп ,имяицепс ос оцйя леод", мыртсо ,"доел яйцо со специями, политое ", острым , ," кетчупом, и задумался…","Понемногу о многом // «Знание - сила», 1997",,,Понемногу о многом,1997,"нехудожественная, публицистика",заметка,"природа, техника",«Знание - сила»,1997,журнал,омонимия не снята,"Известный яхтсмен Кеннет Фишер доел яйцо со специями, политое острым кетчупом, и задумался… [Понемногу о многом // «Знание - сила», 1997] [омонимия не снята]"
" ,йындолох как ,мокызя доп алесаз", йыртсо ,"засела под языком, как холодный, ", острый , ," леденец, и на короткое время","Дмитрий Бакин. Стражник лжи // «Знамя», 1996",Дмитрий Бакин,1964,Стражник лжи,1996,художественная,рассказ,_,«Знамя»,1996,журнал,омонимия не снята,"Прошло довольно много времени, прежде чем регулярные посещения кинотеатров и просмотр подобных лент вселили в него сначала досаду, а затем устойчивую ненависть, котора засела под языком, как холодный, острый леденец, и на короткое время поколебала его решение стать богатым, так как он сделал вывод, что люди, возведенные им в ранг учителей, в большинстве своем не значительнее выдохнутого воздуха и несут в себе слишком [Дмитрий Бакин. Стражник лжи // «Знамя», 1996] [омонимия не снята]"
 и ― еомижитсопен онбешлов от-отч, еыртсо ,что-то волшебно непостижимое ― и , острые , ," горячие запахи, и способность двигаться,",Борис Левин. Блуждающие огни (1995),Борис Левин,1938,Блуждающие огни,1995,художественная,роман,_,,,книга,омонимия не снята,"Было для меня в автомобиле что-то волшебно непостижимое ― и острые горячие запахи, и способность двигаться, и по- звериному рычать на крутых подъемах, подчиняясь дяди Витиной воле. [Борис Левин. Блуждающие огни (1995)] [омонимия не снята]"
 оп имагон имысоб итди ьсолширп, мыртсо ,пришлось идти босыми ногами по , острым , ," горячим камням, он знал, что","Андрей Лазарчук. Там вдали, за рекой… (1986)",Андрей Лазарчук,1958,"Там вдали, за рекой…",1986,художественная,повесть,_,,,книга,омонимия не снята,"И потом, когда труба кончилась и пришлось идти босыми ногами по острым горячим камням, он знал, что вода где-то рядом, и надо лишь точно повернуть. [Андрей Лазарчук. Там вдали, за рекой… (1986)] [омонимия не снята]"
" и молсам мывоквило йешхапорп ,иироттарт", мыртсо ,"траттории, пропахшей оливковым маслом и ", острым , ," сыром, когда туда вошел Верди? ",Ю. М. Нагибин. Где стол был яств… (1972-1979),Ю. М. Нагибин,1920,Где стол был яств…,1972-1979,художественная,рассказ,_,,,книга,омонимия не снята,"Он что, находился в этой траттории, пропахшей оливковым маслом и острым сыром, когда туда вошел Верди?  [Ю. М. Нагибин. Где стол был яств… (1972-1979)] [омонимия не снята]"
 ьтсе лачан меинеджалсан с никпащоР, еортсо ,Рощапкин с наслаждением начал есть , острое , , горячее хаши.,"O. М. Куваев. Эй, Бако! (1975)",O. М. Куваев,1934,"Эй, Бако!",1975,художественная,рассказ,_,,,книга,омонимия не снята,"Они выпили, и Рощапкин с наслаждением начал есть острое горячее хаши. [O. М. Куваев. Эй, Бако! (1975)] [омонимия не снята]"
