Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
" ее лашылс ,ееш йокосыв ан", йыртсо ,"на высокой шее, слышал ее ", острый , , запах.,"Роман Шмараков. Лошадь // «Сибирские огни», 2013",Роман Шмараков,1971,Лошадь,2013,художественная,рассказ,_,«Сибирские огни»,2013,журнал,омонимия не снята,"В полутьме я видел влажное движенье ее глаз, капли пота на высокой шее, слышал ее острый запах. [Роман Шмараков. Лошадь // «Сибирские огни», 2013] [омонимия не снята]"
" залг еищужер ,инмак еырес еиклем", мыртсо ,"мелкие серые камни, режущие глаз ", острым , ," блеском, и пыль.",Евгений Чижов. Перевод с подстрочника (2012),Евгений Чижов,1966,Перевод с подстрочника,2012,художественная,роман,_,,,книга,омонимия не снята,"Остались только мелкие серые камни, режущие глаз острым блеском, и пыль. [Евгений Чижов. Перевод с подстрочника (2012)] [омонимия не снята]"
" с котев зи имыннетелпс ,имадарго", имыртсо ,"оградами, сплетенными из веток с ", острыми , ," шипами и колючками, также фиксировали","Как мало мы о них знаем // «Знание-сила», 2012",,,Как мало мы о них знаем,2012,"нехудожественная, публицистика",заметка,природа,«Знание-сила»,2012,журнал,омонимия не снята,"А для сравнения: на 17 соседних фермах, защищенных оградами, сплетенными из веток с острыми шипами и колючками, также фиксировали последствия нашествий. [Как мало мы о них знаем // «Знание-сила», 2012] [омонимия не снята]"
 лолок олед и от азалг, йыртсо ,глаза то и дело колол , острый , , луч отраженного в оптике утреннего,Виктор Пелевин. S.N.U.F.F (2011),Виктор Пелевин,1962,S.N.U.F.F,2011,художественная,роман,_,,,книга,омонимия не снята,"Камер было так много, что глаза то и дело колол острый луч отраженного в оптике утреннего солнца ― казалось, битва еще не началась, а люди уже стреляют по оркам своими злыми умными стрелами. [Виктор Пелевин. S.N.U.F.F (2011)] [омонимия не снята]"
 илакьлем морутнок мыньлогуерт оге аз, еыртсо ,за его треугольным контуром мелькали , острые , , лучи прожекторов и вспышки красных,Виктор Пелевин. S.N.U.F.F (2011),Виктор Пелевин,1962,S.N.U.F.F,2011,художественная,роман,_,,,книга,омонимия не снята,"Далекие Ворота Победы были скрыты Курганом Предков, но за его треугольным контуром мелькали острые лучи прожекторов и вспышки красных фаеров. [Виктор Пелевин. S.N.U.F.F (2011)] [омонимия не снята]"
" в ,икчодуб ортун еонсет в", йыртсо ,"в тесное нутро будочки, в ", острый , ," запах кожи и ваксы, под","Даниил Корецкий. Менты не ангелы, но… (2011)",Даниил Корецкий,1948,"Менты не ангелы, но…",2011,художественная,роман,_,,,книга,омонимия не снята,"Звягинцев втиснулся в тесное нутро будочки, в острый запах кожи и ваксы, под бахрому разноцветных шнурков, надел на себя черный фартук, под руку положил дубинку. [Даниил Корецкий. Менты не ангелы, но… (2011)] [омонимия не снята]"
 енсев оп йищянзард ястисоноД, йыртсо ,Доносится дразнящий по весне , острый , ," запах черемши ― видимо, нечаянно",Р. Б. Ахмедов. Промельки (2011),Р. Б. Ахмедов,1933,Промельки,2011,"нехудожественная, публицистика",мемуары,_,,,электронное издание,омонимия не снята,"Доносится дразнящий по весне острый запах черемши ― видимо, нечаянно наступил на пучок трехгранных стеблей дикого чеснока, готовящегося к цветению. [Р. Б. Ахмедов. Промельки (2011)] [омонимия не снята]"
 и яьжур алуд зи комыд, йыртсо ,дымок из дула ружья и , острый , , запах пороховой гари.,"Вацлав Михальский. Река времен. Ave Maria // Октябрь, 2010",Вацлав Михальский,1938,Река времен. Ave Maria,2010,художественная,роман,_,Октябрь,2010,журнал,омонимия не снята,"Вспомнил он, и как с плоской крыши сакли салютовал из охотничьего ружья старый муж роженицы ( наверное, мужу было чуть за тридцать, но тогда он показался двадцатичетырехлетнему Адаму очень старым), вспомнил белый дымок из дула ружья и острый запах пороховой гари. [Вацлав Михальский. Река времен. Ave Maria // Октябрь, 2010] [омонимия не снята]"
" обосо латербоирп ― ,мынморкс мымас", еортсо ,"самым скромным, ― приобретал особо ", острое , , звучание: « Что касается до,"Ксения Мяло. Богопричастность или богоотверженность? // «Наука и религия», 2010",Ксения Мяло,1936,Богопричастность или богоотверженность?,2010,"нехудожественная, публицистика",очерк,"администрация и управление, политика и общественная жизнь, религия",«Наука и религия»,2010,журнал,омонимия не снята,"То есть именно тогда, когда мы стояли на пороге новых потрясений и когда вопрос о личном, волевом и свободном, выборе каждого, независимо от его земного статуса ― будь он самым высоким или самым скромным, ― приобретал особо острое звучание: « Что касается до воли Божией и воли человеческой… [Ксения Мяло. Богопричастность или богоотверженность? // «Наука и религия», 2010] [омонимия не снята]"
 обосо и еовон алатербоирп »автснаигрес, еортсо ,сергианства» приобретала новое и особо , острое , , звучание.,"Ксения Мяло. Богопричастность или богоотверженность? // «Наука и религия», 2010",Ксения Мяло,1936,Богопричастность или богоотверженность?,2010,"нехудожественная, публицистика",очерк,"администрация и управление, политика и общественная жизнь, религия",«Наука и религия»,2010,журнал,омонимия не снята,"Зато для этой волны, которая несла с собой немало бывших власовцев, проблема « сергианства» приобретала новое и особо острое звучание. [Ксения Мяло. Богопричастность или богоотверженность? // «Наука и религия», 2010] [омонимия не снята]"
" еишвунсолоп ,ыцинжон лотс ан лижолоп", мыртсо ,"положил на стол ножницы, полоснувшие ", острым , ," бликом в тяжелом, напоенном тленом","Вацлав Михальский. Прощеное воскресенье // Октябрь, 2009",Вацлав Михальский,1938,Прощеное воскресенье,2009,художественная,роман,_,Октябрь,2009,журнал,омонимия не снята,"Наконец, он закончил шить, положил на стол ножницы, полоснувшие острым бликом в тяжелом, напоенном тленом стоячем воздухе, повертел затекшей шеей и стал медленно- медленно поворачиваться к Александре. [Вацлав Михальский. Прощеное воскресенье // Октябрь, 2009] [омонимия не снята]"
" ,улоп ан кежуртс акроГ", йыртсо ,"Горка стружек на полу, ", острый , ," запах липы, в уголке сложены","Ольга Тимофеева. Деревня капиталистического труда // «Русский репортер», № 1-2 (080-081), 22-29 января 2009, 2009",Ольга Тимофеева,,Деревня капиталистического труда,2009,"нехудожественная, публицистика",статья,"дом и домашнее хозяйство, искусство и культура, производство","«Русский репортер», № 1-2 (080-081), 22-29 января 2009",2009,журнал,омонимия не снята,"Горка стружек на полу, острый запах липы, в уголке сложены « стулья» ― поленья то есть. [Ольга Тимофеева. Деревня капиталистического труда // «Русский репортер», № 1-2 (080-081), 22-29 января 2009, 2009] [омонимия не снята]"
" ,яьжур алуд зи комыд йылеб", йыртсо ,"белый дымок из дула ружья, ", острый , , запах пороховой гари.,Вацлав Михальский. Храм Согласия (2008),Вацлав Михальский,1938,Храм Согласия,2008,художественная,роман,_,,,книга,омонимия не снята,"Вспомнил, как с плоской крыши сакли салютовал из охотничьего ружья в честь новорожденного сына старый муж роженицы ( наверно, мужу было чуть за тридцать, но тогда он показался ему очень старым), вспомнил белый дымок из дула ружья, острый запах пороховой гари. [Вацлав Михальский. Храм Согласия (2008)] [омонимия не снята]"
.екниднолб ан ясливонатсо дялгзВ, йыртсО ,Взгляд остановился на блондинке., Острый , , запах лайма мешался со слабым,"Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007)","Дмитрий Колодан, Карина Шаинян",,Над бездной вод,2007,художественная,рассказ,_,,,книга,омонимия не снята,"Взгляд остановился на блондинке. Острый запах лайма мешался со слабым ароматом водяных цветов ― почему-то было понятно, что это не духи. [Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007)] [омонимия не снята]"
-оньлетизремо ( адирдигна огонмен оген, йыртсо ,него немного ангидрида ( омерзительно-, острый , , запах которого выдавил у всех,Михаил Гиголашвили. Чертово колесо (2007),Михаил Гиголашвили,1954,Чертово колесо,2007,художественная,роман,_,,,книга,омонимия не снята,"Пока Борзик высушивал раствор, предварительно влив в него немного ангидрида ( омерзительно-острый запах которого выдавил у всех слезы и проклятия), Художник выволок из шкафчика железную коробку со шприцами: один треснут, на втором поршень разболтан, а третий ― громадный, конский, кубов на двадцать. [Михаил Гиголашвили. Чертово колесо (2007)] [омонимия не снята]"
 мецьлакрез ьравт ан ливарпан румаМ, йыртсо ,Мамур направил на тварь зеркальцем , острый , , луч.,Михаил Гиголашвили. Чертово колесо (2007),Михаил Гиголашвили,1954,Чертово колесо,2007,художественная,роман,_,,,книга,омонимия не снята,Мамур направил на тварь зеркальцем острый луч. [Михаил Гиголашвили. Чертово колесо (2007)] [омонимия не снята]
" ,йовалуб итсюлеч оп илазамс уничурК", еыртсо ,"Кручину смазали по челюсти булавой, ", острые , , шипы глубоко вспороли щеку и,Михаил Елизаров. Библиотекарь (2007),Михаил Елизаров,1973,Библиотекарь,2007,художественная,роман,_,,,книга,омонимия не снята,"Кручину смазали по челюсти булавой, острые шипы глубоко вспороли щеку и подбородок. [Михаил Елизаров. Библиотекарь (2007)] [омонимия не снята]"
" ыняесу хыроток итсонхревоп еиннертунв ,гон", имыртсо ,"ног, внутренние поверхности которых усеяны ", острыми , ," шипами, в долю секунды складываются,","С. Мойнов. Тигры травяных джунглей // «Наука и жизнь», 2007",С. Мойнов,,Тигры травяных джунглей,2007,"нехудожественная, публицистика",статья,природа,«Наука и жизнь»,2007,журнал,омонимия не снята,"При атаке бедро и голень этих ног, внутренние поверхности которых усеяны острыми шипами, в долю секунды складываются, как складной нож, мертвой хваткой зажимая пойманную добычу. [С. Мойнов. Тигры травяных джунглей // «Наука и жизнь», 2007] [омонимия не снята]"
" а ,йокер ьсолил онив ималотс", йыртсо ,"столами вино лилось рекой, а ", острый , , запах шашлыков и репчатого лука,А. Е. Рекемчук. Мамонты (2006),А. Е. Рекемчук,1927,Мамонты,2006,художественная проза,роман,_,,,книга,омонимия не снята,"Были и гости из более близких краев ― например, с благодатного Кавказа,  ― за их столами вино лилось рекой, а острый запах шашлыков и репчатого лука разносился по всему залу, щекоча ноздри, там звучали громкие голоса, иногда срывающиеся в гортанный запев. [А. Е. Рекемчук. Мамонты (2006)] [омонимия не снята]"
 А, еыртсо ,А , острые , , шипы кустарника ― будьте уверены! ,"В. Вишневский. Коллекция птичьих гнезд // «Наука и жизнь», 2006",В. Вишневский,,Коллекция птичьих гнезд,2006,"нехудожественная, публицистика",статья,природа,«Наука и жизнь»,2006,журнал,омонимия не снята,"А острые шипы кустарника ― будьте уверены!  [В. Вишневский. Коллекция птичьих гнезд // «Наука и жизнь», 2006] [омонимия не снята]"
 с иматкудорп ясьтимокал ьтсоннолкс ашан, имыртсо ,наша склонность лакомиться продуктами с , острыми , , запахами ― с тех времен».,"Виктория Скобеева. От Фрейда к Даррелу // «Знание - сила», 2006",Виктория Скобеева,,От Фрейда к Даррелу,2006,"нехудожественная, учебно-научная",статья,"биология, наука и технологии, психология, социология",«Знание - сила»,2006,журнал,омонимия не снята,"Но наша склонность лакомиться продуктами с острыми запахами ― с тех времен». [Виктория Скобеева. От Фрейда к Даррелу // «Знание - сила», 2006] [омонимия не снята]"
" ,еыдревт ,еыннилд еЕ", еыртсо ,"Ее длинные, твердые, ", острые , ," шипы использовались как иглы, вязкая","И. Сокольский. Что есть что в мире библейских растений // «Наука и жизнь», 2006",И. Сокольский,,Что есть что в мире библейских растений,2006,"нехудожественная, публицистика",статья,"здоровье и медицина, природа",«Наука и жизнь»,2006,журнал,омонимия не снята,"Ее длинные, твердые, острые шипы использовались как иглы, вязкая прозрачная жидкость, вытекающая из естественных трещин или искусственных надрезов на стволах, более известная под названием « камедь», применялась в качестве вяжущего, противовоспалительного и кровоостанавливающего лекарственного средства для лечения всевозможных ран и кожных болезней, желудочно-кишечных заболеваний и больных зубов. [И. Сокольский. Что есть что в мире библейских растений // «Наука и жизнь», 2006] [омонимия не снята]"
 оливолу алваП еинянобо ацпук яиназлопдоп, йыртсо ,подползания купца обоняние Павла уловило , острый , , запах лука.,"Игорь Андреев. Желтый ящик // «Знание - сила», 2006",Игорь Андреев,,Желтый ящик,2006,"нехудожественная, публицистика",статья,"история, политика и общественная жизнь",«Знание - сила»,2006,журнал,омонимия не снята,"По мере подползания купца обоняние Павла уловило острый запах лука. [Игорь Андреев. Желтый ящик // «Знание - сила», 2006] [омонимия не снята]"
" а ,агор ен елед момас", еыртсо ,"самом деле не рога, а ", острые , , шипы- выросты.,"обобщенный. Рефераты. Садоводу — на заметку // «Наука и жизнь», 2006",обобщенный,,Рефераты. Садоводу — на заметку,2006,"нехудожественная, публицистика","обзор, совет",сельское хозяйство,«Наука и жизнь»,2006,журнал,омонимия не снята,"И действительно, вид у плодов чилима причудливый: они похожи на голову карикатурного чертика с тремя- четырьмя « рожками», которые на самом деле не рога, а острые шипы- выросты. [обобщенный. Рефераты. Садоводу — на заметку // «Наука и жизнь», 2006] [омонимия не снята]"
 мылеб алавихыпсв ьтсап оге и, мыртсо ,и его пасть вспыхивала белым , острым , , светом.,"Александр Иличевский. Ай-Петри (2005) // «Октябрь», 2006",Александр Иличевский,1970,Ай-Петри,2005,художественная,повесть,_,«Октябрь»,2006,журнал,омонимия не снята,"Он наскакивал во сне на эти молочные языки смерти и кусал их ― и его пасть вспыхивала белым острым светом. [Александр Иличевский. Ай-Петри (2005) // «Октябрь», 2006] [омонимия не снята]"
".тыс ежу отч ,тивяаЗ", еыртсО ,"Заявит, что уже сыт.", Острые , ," запахи не возбудят его, исходящий","Андрей Рубанов. Сажайте, и вырастет (2005)",Андрей Рубанов,1969,"Сажайте, и вырастет",2005,художественная,роман,_,,,книга,омонимия не снята,"Заявит, что уже сыт. Острые запахи не возбудят его, исходящий от еды пар не вызовет слюноотделения. [Андрей Рубанов. Сажайте, и вырастет (2005)] [омонимия не снята]"
" ,нлов муш отэ ― ьнатерБ", йыртсо ,"Бретань ― это шум волн, ", острый , , запах водорослей и беспокойные крики,"Дарья Глебова. Бретань: дыхание Земноморья // «Homes & Gardens», 2004.04.30",Дарья Глебова,,Бретань: дыхание Земноморья,2004,"нехудожественная, публицистика",статья,путешествия,«Homes & Gardens»,2004.04.30,журнал,омонимия не снята,"Бретань ― это шум волн, острый запах водорослей и беспокойные крики чаек [Дарья Глебова. Бретань: дыхание Земноморья // «Homes & Gardens», 2004.04.30] [омонимия не снята]"
 оньлетивиду от-йокак в янем ялд, йыртсо ,для меня в какой-то удивительно , острый , , запах счастья…,"Ольга Зуева. Любишь меня, а целуешь другую?! // «Даша», 2004",Ольга Зуева,,"Любишь меня, а целуешь другую?!",2004,"нехудожественная, публицистика",статья,частная жизнь,«Даша»,2004,журнал,омонимия не снята,"На улице была осень, и когда мы шли через парк, набрали букет ярких кленовых листьев, и этот запах осени, резкий запах мокрой листвы, горьковатый аромат клена и теплый мужской запах, исходящий от Роминого пиджака, навсегда соединились для меня в какой-то удивительно острый запах счастья… [Ольга Зуева. Любишь меня, а целуешь другую?! // «Даша», 2004] [омонимия не снята]"
" лираду сон в как ,иншюнок", йыртсо ,"конюшни, как в нос ударил ", острый , ," запах, от которого резало глаза",Вальтер Запашный. Риск. Борьба. Любовь (1998-2004),Вальтер Запашный,1928,Риск. Борьба. Любовь,1998-2004,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия не снята,"Едва я открыл двери конюшни, как в нос ударил острый запах, от которого резало глаза и першило в горле. [Вальтер Запашный. Риск. Борьба. Любовь (1998-2004)] [омонимия не снята]"
 ― екчер к мосел удИ, йыртсо ,Иду лесом к речке ― , острый , , запах земляники: метрах в десяти,"Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003","Анатолий Найман, Галина Наринская",1936,Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов,2003,"нехудожественная, публицистика",эссе,дом и домашнее хозяйство,«Октябрь»,2003,журнал,омонимия не снята,"Или: « Иду лесом к речке ― острый запах земляники: метрах в десяти ( свидетельство вашего звериного обоняния) за кочкой поляна ― вот такие ягоды, как лаком облитые, ослепительные. [Анатолий Найман, Галина Наринская. Процесс еды и беседы. 100 кулинарных и интеллектуальных рецептов // «Октябрь», 2003] [омонимия не снята]"
" с ,еытунгыв ,еикнот ,еынелез-олтевс иктеВ", имыртсо ,"Ветки светло-зеленые, тонкие, выгнутые, с ", острыми , , шипами.,"Войтек Грабчевски. Цветущая альтернатива // «Ландшафтный дизайн», 2003.01.15",Войтек Грабчевски,,Цветущая альтернатива,2003,"нехудожественная, учебно-научная",статья,дом и домашнее хозяйство,«Ландшафтный дизайн»,2003.01.15,журнал,омонимия не снята,"Ветки светло-зеленые, тонкие, выгнутые, с острыми шипами. [Войтек Грабчевски. Цветущая альтернатива // «Ландшафтный дизайн», 2003.01.15] [омонимия не снята]"
 илазерорп утонмеТ, еыртсо ,Темноту прорезали , острые , , вспышки выстрелов.,"Вольдемар Енишерлов. Юго-Западный фронт // «Наш современник», 2003.10.15",Вольдемар Енишерлов,1924,Юго-Западный фронт,2003,"бытовая, нехудожественная","дневник, записные книжки",армия и вооруженные конфликты,«Наш современник»,2003.10.15,журнал,омонимия не снята,"Темноту прорезали острые вспышки выстрелов. [Вольдемар Енишерлов. Юго-Западный фронт // «Наш современник», 2003.10.15] [омонимия не снята]"
 мымярп с итсапол йеншенв анишрев, мыртсо ,вершина внешней лопасти с прямым , острым , , шипом ( рис.,Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003),Л. Жильцова,,Веснянки (plecoptera). Группа euholognatha,2003,"нехудожественная, учебно-научная",монография,"биология, наука и технологии",,,книга,омонимия не снята,"Дистальный отросток средней лопасти парапрокта очень короткий, вырост ее сбоку широкий с округленной вершиной, вершина внешней лопасти с прямым острым шипом ( рис. [Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003)] [омонимия не снята]"
" с анишрев оге ,имаксолов имикдер", мыртсо ,"редкими волосками, его вершина с ", острым , , шипом ( рис.,Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003),Л. Жильцова,,Веснянки (plecoptera). Группа euholognatha,2003,"нехудожественная, учебно-научная",монография,"биология, наука и технологии",,,книга,омонимия не снята,"Средняя лопасть короткая, с прямоугольной базальной частью, часто дуговидно изогнутая, ее внутренний край темный и продолжается назад в относительно короткий, слегка изогнутый вбок и вверх дистальный отросток, покрытый редкими волосками, его вершина с острым шипом ( рис. [Л. Жильцова. Веснянки (plecoptera). Группа euholognatha (2003)] [омонимия не снята]"
 еелоб еще с и силук, мыртсо ,кулис и с еще более , острым , ," запахом интриг, каботинством, премьерством и","Марина Давыдова. Чайка в небе. Станиславскому исполнилось 140 лет // «Известия», 2003.01.17",Марина Давыдова,,Чайка в небе. Станиславскому исполнилось 140 лет,2003,"нехудожественная, публицистика",статья,искусство и культура,«Известия»,2003.01.17,газета,омонимия не снята,"В изменении роли и назначения театра, если понимать под этим словом не драматургию, а саму театральную практику с запахом кулис и с еще более острым запахом интриг, каботинством, премьерством и прочими кулуарными прелестями. [Марина Давыдова. Чайка в небе. Станиславскому исполнилось 140 лет // «Известия», 2003.01.17] [омонимия не снята]"
 бо ьсалолоку ен и йогон, еыртсо ,ногой и не укололась об , острые , , шипы.,"Мария Белова. Богиня утренней зари // «Сад своими руками», 2003.10.15",Мария Белова,,Богиня утренней зари,2003,"нехудожественная, публицистика",статья,дом и домашнее хозяйство,«Сад своими руками»,2003.10.15,газета,омонимия не снята,"И долгое время роза оставалась исключительно белой и не обладала ароматом, пока богиня цветов не наступила на нее ногой и не укололась об острые шипы. [Мария Белова. Богиня утренней зари // «Сад своими руками», 2003.10.15] [омонимия не снята]"
",ысколф еыволил -онжен И", йыртсо ,"И нежно- лиловые флоксы,", острый , , запах которых будоражит память: мое,"Рада Полищук. Портреты // «Вестник США», 2003.12.10",Рада Полищук,,Портреты,2003,"нехудожественная, публицистика",мемуары,частная жизнь,«Вестник США»,2003.12.10,газета,омонимия не снята,"И нежно- лиловые флоксы,острый запах которых будоражит память: мое детство ― букет первоклассницы, прекрасный волшебный сад дворника деда Кузьмы в одесском дворике моей мамы, и кажется мне, что я вижу их в палисадниках дореволюционного местечка Юстинград, где прошло детство моего папы, и на улицах маленького города Горки, на могилевщине, где родился Лев Эммануилович. [Рада Полищук. Портреты // «Вестник США», 2003.12.10] [омонимия не снята]"
" и ,икдовап еиннесев и мороток", еортсо ,"котором и весенние паводки, и ", острое , , дребезжание мошки.,Сергей Шаргунов. Ура! (2003),Сергей Шаргунов,1980,Ура!,2003,художественная,повесть,_,,,книга,омонимия не снята,"Слушаю бас Шаляпина, в котором и весенние паводки, и острое дребезжание мошки. [Сергей Шаргунов. Ура! (2003)] [омонимия не снята]"
" алавовтсвучоп ано отч ,окзилб и", йыртсо ,"и близко, что она почувствовала ", острый , , запах серы и испугалась.,"Тамара Орлова. Ловушка для ящериц // «Октябрь», 2003",Тамара Орлова,,Ловушка для ящериц,2003,художественная,повесть,_,«Октябрь»,2003,журнал,омонимия не снята,"Мина решила, что лучше встать и зажечь свет, обозначив свое присутствие, но мужчина вдруг чиркнул спичкой так громко и близко, что она почувствовала острый запах серы и испугалась. [Тамара Орлова. Ловушка для ящериц // «Октябрь», 2003] [омонимия не снята]"
